	0
a	518
a.a.v	1
a. a	1
aaron	1
abandon	1
abandoned	2
abandonment	1
ablaze	1
able	9
abortive	2
abounded	1
about	35
above	6
abruptly	1
absence	1
absent	1
abwehr	1
accept	1
acceptance	1
accepting	1
accolades	1
accompanied	3
accompanying	2
accomplished	3
accomplishment	1
accomplishments	1
according	2
accordingly	2
account	1
accuracy	1
accurate	5
ace	1
achievements	1
acknowledges	1
acquired	1
acquiring	1
across	22
acted	1
action	24
actions	3
active	5
activities	1
actual	2
adc	1
add	1
added	7
adding	1
addition	5
additional	1
additions	1
adequate	1
adjutant	3
adm	1
administrative	3
admirably	1
admiral	48
admirals	4
admits	1
adopted	2
adoption	1
advance	14
advanced	2
advancing	4
advantage	2
advent	1
adventure	1
adverse	1
advisory	1
advocate	1
aerial	7
affair	2
affected	2
afford	1
afire	1
afloat	2
after	47
afternoon	2
again	24
against	21
age	1
aggressiveness	1
agreed	3
aground	1
ahead	1
aib	2
aid	3
aide	2
aided	2
aimed	1
air	59
air-cooled	1
airborne	1
aircraft	30
aircrew	1
aircrewmen	1
airfield	32
airfields	1
airfield’s	1
airstrip	6
ak	1
albert	2
alert	1
alerted	6
alexander	16
all	75
all-important	1
allied	15
allies	1
allow	1
allowed	4
almost	10
alone	2
along	25
alphonse	1
already	11
also	38
alternate	1
alternative	1
although	12
altitude	1
altogether	1
always	3
ambushed	3
america	3
americal	12
americal’s	2
american	51
americans	14
america’s	3
amidst	1
ammunition	10
among	4
amor	1
amos	1
amount	1
amounted	1
amounts	1
amphibian	7
amphibious	12
amphibiously	1
amtrac	3
an	72
analysis	1
analyst	1
analysts	1
anchor	1
anchorages	1
and	875
ann	1
annexing	1
anniversary	1
announced	1
anonymity	1
another	27
anthony	2
antiaircraft	7
anticipated	1
antitank	6
any	14
anyplace	1
anything	2
aola	3
ap	1
apa	1
apart	1
apathetic	1
apparent	3
appeared	5
appointed	4
appointment	1
apprised	1
approach	2
approached	2
approaches	1
approaching	12
appropriate	2
appropriately	1
approve	1
approved	8
approximately	3
april	3
aptly	1
aquilina	2
archipelago	1
archives	9
are	14
area	23
area--but	1
area--were	1
area--with	1
areas	6
areas--if	1
argued	2
aristocratic	1
arizona	1
arm	1
armadas	1
armed	3
armor	2
armpits	1
arms	6
army	32
army-designed	1
army-marine	2
army’s	5
around	3
arrival	2
arrived	15
arriving	2
arthur	2
arthur’s	2
articles	1
artillery	29
artillerymen	1
artist	2
arts	2
artwork	1
as	150
ashore	33
aside	1
asked	2
aspect	1
asprey	1
assault	19
assaults	1
assembled	1
assigned	1
assignment	1
assistant	11
association	2
assure	1
assured	1
astoria	1
astride	1
at	137
atabrine	1
athlete	1
atlanta	2
atmosphere	1
attached	4
attack	62
attack-force	1
attacked	10
attackers	4
attacking	9
attacks	29
attain	1
attempt	11
attempted	3
attempting	5
attempts	5
attended	1
attention	3
attrition	1
auckland	2
aug	1
augmented	2
august	50
augusta	1
austen	3
australia	13
australian	10
australian--and	1
authentic	1
author	6
authority	1
authorized	4
automatic	1
available	5
aviation	10
aviator	1
aviators	3
award	3
awarded	13
awarding	1
aware	1
away	12
axiomatic	1
b	31
b-17s	2
b-26s	1
bachelor	1
back	39
backed	1
background	3
backup	1
backwaters	1
bad	2
badly	11
bag	2
bags	3
bailey	2
balanced	1
balcombe	1
ballance	1
ballard	1
bamboo	1
banana	1
bandits	1
banish	1
bank	5
banks	1
banta	1
banzai	1
baptism	1
bar	3
barbed	1
barbed-wire	1
barely	1
barnett	1
barr	1
barrel	6
barrow	1
barton	1
base	13
based	4
baseplate	2
basic	1
basilone	2
basis	1
battalion	106
battalion--the	1
battalions	28
battalion’s	6
battered	1
batteries	1
battle	35
battle-seasoned	1
battle-weary	2
battles	11
battleship	7
battleship-cruiser	1
battleships	7
battling	2
bauer	4
bay	4
bayonet	1
bayoneted	1
bayonetted	1
bays	1
bb	5
be	72
beach	19
beaches	9
beachhead	10
beachheads	3
bearing	2
beat	1
beaten	4
became	12
because	7
become	5
becoming	5
bedding	2
beef	1
been	46
before	24
befriended	1
began	15
begin	2
beginning	5
begun	4
