	0
a	573
abated	1
able	3
about	29
above	1
absorb	2
absorbed	3
abundance	4
acceptable	1
accepted	1
according	3
accordingly	2
account	1
acid	4
act	1
acted	1
add	15
added	103
adding	4
addition	1
adelaide	1
administration	4
admitted	1
advancing	1
advises	1
after	33
afternoon	4
again	7
agate	1
agree	1
agreed	2
air	1
alike	1
all	68
all-important	1
allies	2
allow	1
allowed	3
almond	31
almonds	38
almost	2
along	1
already	1
also	9
although	2
aluminum	1
always	8
am	2
amount	3
amy	3
an	24
and	691
angel	1
angelica	3
annual	1
another	11
any	22
anything	3
anyway	1
apart	1
appeal	1
appendix	4
apple	1
appropriate	1
apricots	4
aprons	1
apt	1
are	12
arm	2
army	1
around	1
arranged	3
array	1
art	1
as	135
asked	1
asking	1
assisting	1
at	60
attempt	1
attention	1
attentively	1
attractive	5
attractively	1
author	1
away	7
awe	1
awkward	1
back	14
bag	1
bags	2
baked	2
baking	3
ball	80
balls	28
bars	3
basket	1
be	56
beacon	1
beat	50
beaten	5
beating	4
beautiful	1
beautifully	1
became	18
because	7
become	3
becomes	2
bee	3
been	18
beet	1
before	28
began	16
begging	1
begin	2
beginning	1
begins	1
being	5
believe	1
belonged	1
benton	2
besides	1
best	18
betsey	336
betsey's	30
better	6
between	11
big	2
birthday	4
bit	3
bitter	3
bitter-sweets	3
black	1
blackberries	1
blade	2
blanch	1
blanched	14
blended	1
blue	2
board	2
bob	1
bobbed	6
bobbing	2
bobbitt	21
boil	37
boiled	25
boiler	5
boiling	39
bon	3
bons	3
book	11
books	1
boston	3
both	1
bottom	2
bought	7
bowl	13
box	5
boys	3
brazil	4
break	1
breakfast	1
breaking	1
breath	1
bright	1
brilliant	1
bring	2
brittle	19
broken	11
brought	4
brown	64
browned	1
bruised	1
brush	5
brushed	2
bunches	1
burn	2
burned	1
burst	1
busily	3
busy	5
but	33
butter	179
buttered	95
buttering	1
butternut	14
butternuts	1
buy	3
by	39
c	1
cage	1
cake	7
cakes	9
call	1
called	8
caller	4
came	9
can	4
can't	2
candied	21
candies	38
candies--cooked	3
candies--uncooked	3
candy	151
candy-making	3
cane	1
capable	2
caramel	1
caramels	21
care	4
careful	6
carefully	27
caroline	2
carriage	4
case	2
celebrating	1
centre	2
cents	8
certainly	2
chair	1
change	2
changed	1
chapter	10
charge	1
cheap	1
cheesecloth	10
cherries	18
cherry	22
child	1
children	5
chocolate	171
choicest	1
choose	1
chop	1
chopped	3
chopper	5
chose	2
chosen	1
christina	1
christmas	16
cinnamon	6
circus	1
citron	1
clear	2
closed	1
cloth	8
co	1
co-operate	1
coated	1
cocoa	41
cocoanut	17
coffee	57
cold	157
college	2
colonial	1
color	12
colored	2
coloring	3
colorings	2
colors	5
combination	3
combinations	2
combining	1
come	10
comfort	1
comfortably	1
company	3
complete	1
completely	1
comply	1
concern	1
concoctions	1
condensed	3
confectioner's	14
confections	3
conform	1
confusion	1
conservation	1
considered	2
constant	2
constantly	4
consumption	1
containing	1
contains	1
contents	2
continually	1
continue	3
continued	6
convenience	1
convenient	1
cook	11
cooked	36
cooking	14
cool	45
cooled	2
cooling	1
copyright	1
corn	82
corn-popper	1
cornell	1
cornstarch	2
could	34
couldn't	3
counted	2
counting	1
country	1
country's	1
course	5
cover	5
covered	15
covering	4
crack	1
cracked	1
cranberries	1
cranberry	2
cream	176
creams	56
creamy	9
crisp	2
crowd	1
crystallized	3
cup	216
cups	98
cut	69
cutter	8
cutting	8
dainties	9
dainty	3
damp	4
dangerous	1
dark	1
date	19
dates	46
daughter	2
daughter's	2
day	14
days	4
dear	3
dearest	3
decided	1
decision	1
decoration	1
decorative	4
decrease	1
deep	1
defenders	1
delicious	13
delight	3
delighted	4
delightful	1
depended	1
desired	5
despite	1
dessert	1
devoted	1
dictated	1
did	26
different	20
dip	3
dipped	11
dipping	4
direction	1
directions	2
discouraged	1
discussing	1
dish	6
dishes	2
displayed	1
dissolved	6
divided	7
divinity	2
do	13
does	1
doing	2
domestic	3
don't	1
done	8
door-bell	1
dorothy	8
dorothy's	2
double	7
doubly	1
down	7
dozen	1
drain	2
drained	7
draining	6
dried	2
drop	2
dropped	62
dropping	4
drops	14
dry	10
drying	1
during	1
dusted	1
each	56
eager	4
eagerly	2
early	1
earned	1
earnest	3
easier	5
easiest	1
easily	13
easy	4
eat	8
eaten	2
eating	1
efforts	1
egg	7
egg-beater	1
eggs	4
eighth	1
eighty	1
either	1
elderberries	1
eliminating	1
elizabeth	2
emptied	1
enabled	1
enclosed	1
encourage	1
end	1
endeavors	1
endorsed	1
energy-giving	2
engaged	2
english	1
enjoy	1
enjoyed	2
enough	20
enthused	1
enthusiasm	2
entirely	1
equal	2
equally	1
equivalent	1
errands	1
escorted	1
especially	2
established	1
etc	8
even	11
evenly	2
eventful	1
ever	7
every	13
everything	5
exactly	4
except	3
exception	1
excited	2
excitement	2
exclaimed	4
exclaiming	1
experience	1
expert	3
explained	7
explaining	1
explains	1
expressed	1
extra	7
extract	2
extras	1
eye	1
eyes	1
face	1
fact	3
failed	1
failures	1
fall	6
family	1
fancy	14
far	1
farm	1
fashion	1
fat	1
father	5
favorite	3
favors	1
features	1
feel	1
fell	2
felt	5
festive	1
few	13
fifth	1
fig	14
fighter	1
fighting	1
figs	28
filberts	1
fill	1
filled	4
filling	1
finally	1
find	3
finds	1
fine	6
finger	8
finger-tips	3
fingers	11
finish	1
finished	3
fir	1
fire	63
firm	6
first	25
fit	2
fitted	1
five	2
flash	1
flat	4
flattened	2
flavor	1
flavored	2
flavoring	68
flavorings	5
flavors	2
flexible	2
flushed	1
follow	2
followed	3
following	7
follows	3
fond	2
fondant	76
fondant--plain	1
fondants	5
food	6
food-chopper	1
foolish	1
for	102
forethought	1
forget	1
forgetting	1
forgot	1
forgotten	1
fork	1
forks	4
form	5
formed	61
forming	1
forms	2
forth	2
fortunately	1
forward	2
found	24
foundation	21
four	7
fourth	4
frances	1
french	2
fresh	5
freshly	1
friday	1
friend	9
friends	8
from	102
frontispiece	3
frosted	11
frosting	1
fruit	14
fruits	11
frying-pan	1
fudge	131
fudges	6
full	6
fully	2
fun	4
fund	1
funny	1
furnish	1
furnished	1
future	2
gain	1
gala	1
gathering	1
gave	6
gelatine	1
general	2
generally	1
gently	2
get	4
getting	1
gift	3
gifts	2
ginger	4
girl	17
girls	16
give	3
given	5
giving	1
glac	2
glad	7
gladly	1
glance	1
glass	2
glee	1
gloss	1
glossy	1
go	2
going	1
golden	4
gone	1
good	4
good-sized	3
goodbye	1
goodies	4
government	3
gradually	12
grain	5
grains	1
granddaughter	1
grandmother	5
granulated	82
grape-fruit	1
grapefruit	1
