	0
a	825
a--is	1
able	9
about	84
about--and	1
above	8
abroad	1
absent	1
absorbed	1
accepted	1
accident	1
accidents	2
according	1
account	2
accounts	2
accustomed	3
acid	5
across	26
action	1
actions	1
actually	3
add	2
added	3
addition	1
address	2
admiral	1
admired	1
admissible	1
admitted	1
adventurous	1
advice	1
advise	1
affection	2
affectionate	2
afford	1
afraid	20
after	44
afternoon	12
afterward	4
afterwards	2
again	52
again--all	1
against	9
age	1
age--and	1
ages	1
aggravating	1
agitated	1
ago	3
ago--in	1
ago--worse	1
agree	1
agreed	2
agriculture	1
ah	3
ah--but	1
ahead	4
ain't	1
air	11
air--which	1
ajar	1
alarm	1
alarming	2
alder	1
algebra	1
alien	1
alight	1
alike	1
alive	2
all	276
all--and	1
allow	1
allowed	7
almost	13
alone	8
along	13
along--we'll	1
already	2
also	6
although	1
altogether	2
altogether--and	1
always	42
am	27
amiable	1
among	16
amount	1
amused	1
amusing	1
an	51
ancestors	1
anchor	1
and	2199
andrew	1
angrily	2
angry	8
animal	3
animals	8
ann	9
anniversary	1
announced	1
announcing	1
annoyed	2
annoying	1
another	26
ans	1
answer	8
answered	7
ant-heap	1
anti-dragon	1
anticipate	1
ants	1
anxiety	2
anxious	4
anxiously	4
any	47
anybody's	1
anyhow	6
anymore	2
anyone	14
anything	35
anyway	1
anywhere	3
apart	1
apologies	1
appear	1
appearing	1
appendage	1
apple	4
apples	1
appointed	1
apprenticed	1
apprentices	2
apron	2
arch	2
archers	1
arches	1
arctic	11
are	106
are--you	1
aren't	8
argue	3
argument	1
argumentative	1
arithmetic	2
arm	2
armful	2
armor	2
armor--a	1
arms	15
army	5
around	70
arranged	5
arranging	1
artificial	1
artificial--and	1
artificially	1
as	344
asbestos	1
ascertain	1
ashore	1
ask	11
asked	31
asking	2
asleep	21
assistance	2
assure	1
at	249
ate	19
attach	1
attend	1
attendance	1
attending	1
attentively	1
august	1
aunt	1
aurora	5
authors	1
avoid	1
awake	1
away	53
away--and	1
away--away	1
away--ran	1
awful	3
awfully	1
awoke	1
