	0
a	1835
a.d	1
abandoned	1
abandonèd	1
abashed	1
abate	2
abati	7
abati--buoso	1
abbagliato	3
abbey	1
abbot	7
abbot's	2
abdicate	1
abel	1
abel's	1
abhorred	2
abhorring	1
abhors	1
abide	3
abides	1
ability	1
abject	1
able	15
ably	1
abode	12
abolished	2
abolition	1
abound	1
about	67
above	41
abraham	1
abram's	1
abreast	1
abroad	9
abrogated	1
abruzzi	1
absalom	2
absence	12
absent	2
absolute	4
absolution	3
absolve	2
absolved	1
absolves	2
absorbed	3
absorbs	1
abstain	1
abstract	1
abstracted	1
absurd	1
abundant	2
abuse	2
abused	2
abyss	11
accents	7
accept	2
accepted	5
accepting	1
accepts	2
access	1
accessions	1
accident	1
accidental	1
accompanied	4
accompany	1
accomplished	8
accomplishments	1
accord	3
accorded	1
according	38
accorso	1
account	24
account--more	1
accounted	3
accounts	5
accumulating	1
accursed	4
accurst	2
accursèd	2
accusation	1
accused	2
accuses	1
accustomed	1
acheron	11
achilles	9
acknowledge	1
acknowledged	2
acknowledges	1
acknowledging	1
acquacheta	4
acquaintance	7
acquainted	3
acquasparta	4
acquire	2
acquired	4
acquires	1
acquiring	1
acquisition	2
acre	3
across	21
act	8
acted	6
acting	4
action	14
actions	2
active	9
active-minded	1
activity	5
actors	1
acts	4
actual	2
actually	2
acute	1
adam	10
adam's	1
adapted	2
add	4
added	3
adding	2
addition	3
additional	2
additions	2
address	3
addressed	17
addresses	1
addressing	1
adds	2
adduced	2
adelasia	1
adelsberg	1
adept	1
adepts	3
adequate	1
adige	4
adimari	2
adjoining	1
adjoins	1
adjure	1
adjures	1
administer	1
administration	3
administrators	1
admirable	1
admiration	3
admired	2
admission	2
admit	3
admitted	3
adopt	3
adopted	8
adopting	3
adoration	1
adore	1
adored	1
adorn	2
adorned	2
adorning	1
adriatic	3
adscribo	1
adulterous	1
advance	12
advanced	5
advances	1
advancing	4
advantage	9
advantages	1
advent	2
adventure	3
adventures	1
adverse	8
advice	5
advisable	1
advise	1
advised	2
afar	4
affair	1
affairs	27
affairs--in	1
affect	1
affected	6
affection	2
affections	1
affects	3
affirmation	1
affirms	1
afflict	1
afflicted	4
affliction	2
afford	4
affording	1
affords	1
aflame	1
aforesaid	1
afraid	2
afresh	5
africa	1
africanus	1
after	114
after-thought	1
afterward	1
afterwards	7
again	64
against	116
age	29
aged	1
agency	1
agent	5
ages	14
aggrandisement	1
aggravation	1
aghast	4
agility	1
agli	1
aglow	3
agnello	8
ago	7
agone	1
agonies	1
agonising	1
agony	1
agree	5
agreeable	1
agreed	4
agrees	10
agrigentum	1
ague	1
ah	23
ahead	3
ahithophel	2
aid	14
aided	1
ail	1
ailed	3
ailments	1
ails	5
aim	7
aimed	5
aims	1
air	39
akin	1
alack	1
alardo	3
alarmèd	1
alas	5
alberic	2
alberigo	6
alberigo's	1
alberigo--branca	1
albert	6
albert's	2
alberti	4
alberto	2
alchemists	2
alchemy	4
aldighieri	1
aldighiero	3
aldobrand	1
aldobrandi	4
aldobrando	1
alecto	2
aleppe	1
alert	3
alessio	6
alexander	10
alexander's	2
ali	3
alichin	2
alichino	5
alighieri	14
alight	5
alike	2
alive	6
all	504
all-grasping	1
all-knowing	1
all-powerful	1
allay	2
allegiance	3
allegorical	6
allegorico	1
allegory	4
alleluiahs	1
alleviation	2
alliance	6
alliances	1
allied	3
allies	11
allotted	2
allow	4
allowable	1
allowance	1
allowed	11
allowing	2
allows	3
alloy	3
allure	1
allured	1
allusion	3
allusion--the	1
ally	4
almi	1
almighty	2
almost	46
alms	1
aloft	5
alone	42
along	24
alongside	1
aloof	4
aloud	1
alphabet	1
alphonso	2
alps	6
already	69
also	41
alterations	1
altered	2
alternative	2
although	34
altogether	3
alway	1
always	46
alyscampo	1
am	42
amain	1
amass	1
amazed	6
amazement	2
amazing	1
ambassador	1
ambition	11
ambitions	2
ambitious	3
ambush	3
amech	1
amen	1
amends	3
amiable	1
amid	3
amidei	1
amiss	1
amnesty	2
among	92
amor	1
amore	1
amorous	1
amount	3
amounted	2
amounts	2
amphiaraüs	3
amphiaräus--tiresias--aruns--manto	1
amphion	3
ampissimo	1
ample	10
amplifications	1
amply	1
ampère	1
amuse	1
amused	1
an	214
anachronism	1
anachronisms	1
anagni	1
analytical	1
anastasius	6
anastasius--virgil	1
anathemas	1
anaxagoras	2
ancestor	3
ancestors	3
ancestral	1
ancestry	1
anchises	3
anchor	1
ancient	18
ancona	1
ancora	1
and	3017
andrea	5
andrea--florence	1
andrews	3
anecdote	2
anecdotes	2
anew	8
angel	6
angel's	4
angelic	3
angelo	4
angels	9
angels--the	1
anger	14
anger-clouded	1
angiolel	1
angiolello	1
angle	1
angles	1
angrily	1
angry	9
anguish	6
animal	2
animated	1
anjou	12
ankles	1
annalists	1
annals	1
annas	2
annexed	1
anni	1
anniversary	4
annoy	1
anonimo	1
another	74
another's	2
another--not	1
another.--virgil	1
anselm	1
anselmuccio	1
answer	35
answered	32
answering	3
answers	7
antagonist	1
anteit	1
antenor	1
antenora	5
anti-imperialist	1
anticipated	1
anticipates	4
anticipating	1
anticipation	2
antioch	1
antiochus	2
antipodal	2
antique	1
antonio	1
ants	1
antæus	14
antæus--entrance	1
anxiety	1
anxious	3
any	112
anything	7
anywhere	2
apace	3
apart	5
ape	1
apennine	2
apennines	2
apia	1
apocalypse	2
apocryphal	1
apollo	2
apologetic	1
apologies	1
apologist	1
apology	2
apostle	3
apothecaries	2
appal	1
appalling	1
apparent	2
appeal	6
appeals	1
appear	16
appearance	8
appeared	13
appearing	2
appears	22
appease	1
appeased	1
appertain	1
appetite	1
applause	1
apples	1
applicable	1
application	1
applied	4
applies	2
apply	5
appointed	2
appointment	1
appointments	1
approach	5
approached	1
approaches	1
approaching	4
approachèd	1
approbation	2
appropriate	3
appropriately	3
approval	4
approve	1
approved	1
approximate	1
approximatively	1
april	5
apt	3
aptitude	1
aptness	1
apuana	1
apulia	4
apulian	1
apulians	3
aqua	1
aquarius	4
aquinas	3
aquitaine	1
arab	1
arabian	1
arabic	2
arabs	1
arachne	3
arbia	7
arc	1
arch	12
arch-heresy	1
arch-traitor	1
archangel	1
archbishop	8
archbishop's	1
archbishops	1
arches	3
architect	1
architectural	1
ardent	1
ardour	1
arduous	1
are	375
arethusa	2
arethuse	1
aretine	7
aretines	4
arezzo	8
arezzo--capocchio	1
argenti	5
argenti--the	1
argives	2
argonauts	1
argument	4
arguments	1
ariadne	2
arid	1
aries	2
aright	4
arise	10
arisen	3
arises	3
arising	1
aristocrat	1
aristocratic	1
aristotle	13
aristotle's--violence	1
aristotle--not	1
arles	4
arm	10
arm-pits	1
armed	5
armies	1
armpits	1
arms	37
army	8
armèd	3
arno	9
arno'--that	1
arno's	3
arnolfo	2
arose	8
around	30
aroused	1
aroux	1
arragon	2
arrange	1
arranged	3
arrangement	2
array	1
arrayed	1
arrear	1
arrigo	3
arrival	4
arrive	1
arrived	12
arrives	1
arriving	2
arrogance	8
arrogant	4
arrow	3
arrow's	2
arrows	1
arsenal	3
art	78
art's	1
art--capaneus--the	1
art--usurers	1
arthur	2
arthur's	4
arthurian	2
article	3
articulate	2
artificer	1
artificial	3
artisans	1
artist	3
artist's	1
artistic	3
artists	1
arts	8
arundel	3
aruns	3
as	1195
ascend	5
ascendant	1
ascended	5
ascending	2
ascends	1
ascent	8
ascertain	2
ascertained	4
ascian	2
asciano	2
ascribed	1
asdente	2
ashamed	5
ashamèd	1
ashes	5
asia	1
aside	5
asinelli	1
ask	9
askance	4
asked	33
asking	2
asks	7
asleep	1
aspect	5
aspiration	1
aspire	2
aspiring	1
assail	3
assailed	4
assailing	1
assails	3
assassin	2
assassinated	1
assaulting--tearing	1
asserted	2
assertion	2
asserts	1
assiduity	1
assign	2
assigned	18
assisi	4
assist	1
assistance	1
associate	1
associated	9
associates	2
association	2
associations	1
assuage	1
assume	10
assumed	6
assumes	1
assuming	1
assurance	2
assured	6
astonished	2
astonishment	3
astound	1
astray	5
astrologer	2
astrology	3
astronomers	2
astronomical	2
astronomy	1
asunder	3
asweat	1
at	536
ate	1
athamas	5
athenian	1
athens	5
athletes	1
athwart	4
atlantic	1
atmosphere	1
atoms	1
atone	1
atoned	1
atropos	3
attached	7
attachment	1
attack	3
attain	5
attained	2
attaining	2
attains	1
attainèd	1
attempt	12
attempted	3
attempts	1
attendant	1
attended	2
attention	10
attentive	2
attila	6
attire	1
attitude	3
attitudes	1
attract	1
attracted	1
attributed	4
attributes	6
attributing	1
attribution	1
aubrey	1
audacity	1
audience	1
aught	1
augur	2
august	5
augustine	1
augustus	6
aulis	2
aus	2
auspices	1
austere	1
austrian	2
authentic	1
authenticity	1
author	17
author's	1
authorities	4
authority	20
authority--to	1
authors	3
authorship	1
autobiographical	1
autumn	3
avail	3
available	2
availed	3
avails	3
avarice	9
avaricious	2
avenged	5
aventine	2
aver	1
averroes	3
averroës	1
averse	1
avert	1
avete	1
avicen	1
avicenna	2
avignon	3
avoided	1
avoiding	1
avow	2
avowal	2
avowed	2
await	6
awaited	1
awake	2
awaked	1
awaken	1
awakened	3
aware	11
away	28
awe	2
awful	7
awnings	1
awoke	3
awry	4
axle-tree--run	1
aye	6
azure	5
azzolino	1
b	1
babbo	1
babel	1
baby	2
babylon	1
bacchiglione	3
bacchus	3
back	53
back-bone	1
backed	1
background	3
backs	4
backward	14
bacon	1
bad	12
bade	11
bade--and	1
badia	1
bag	1
baggage	1
bagnacavalli	1
bagrada	1
baked	1
baken	1
balance	4
baldovinetto	1
balducci	1
balearic	1
bales	1
ballad	1
ballads	1
ballast	1
balwearie	1
band	16
bands	3
bandy	1
bane	2
banish	1
banished	12
banishment	13
banishment--no	1
bank	29
banks	9
banned	2
banner	2
banners	1
banquet	2
baptism	2
baptisms	2
baptist	3
baptist's	1
baptistery	3
baptized	4
baptizer's	1
baptizers	1
barbariccia	5
barbarossa	4
barbarous	1
barbed	1
bard	1
bardi	1
bare	7
barely	2
bargained	1
bargains	1
barges	1
bark	6
barking	1
barks	1
baron	2
baron's	1
baronage	1
barone	1
barons	3
barrates	2
barrator	3
barrators	8
barratorship	1
barred	4
barren	2
barrier	5
barriers	4
bars	1
base	14
bashful	2
bastards	1
bat's	2
bath's	1
bathed	1
bathes	1
baths	1
bathèd	1
batten	1
battle	29
battle-field	1
battlements	1
battles	1
bavaria	1
bavarian	1
bay	2
be	590
be--one	1
be--which	1
beak	1
beaks	1
beams	1
bear	27
beard	3
bearded	1
bearer	1
bearing	5
bears	11
beast	6
beasts	6
beasts--virgil--the	1
beat	5
beaten	4
beatest	1
beatrice	38
beatrice's	2
beauteous	4
beautiful	6
beauty	9
beavers	1
became	16
because	75
beccheria	4
beckoned	2
become	12
becomes	3
becoming	5
bed	9
been	306
befall	1
befell	2
befits	2
befooled	5
before	97
beforehand	4
began	46
beggar	1
beggars	1
begged	2
begging	2
begin	14
beginneth	1
beginning	28
begins	5
begins--should	1
begirt	1
begone	4
begs	1
begun	16
behaves	1
behaviour	5
beheaded	3
beheld	21
behest	2
behind	42
behold	16
beholdest	1
beholding	10
beholds	1
behoof	1
behoved	3
behoves	5
behoveth	1
being	157
belacqua	1
belief	14
beliefs	3
believe	18
believed	17
believer	1
believes	2
believing	3
bell	3
bell-tower	1
bella	2
bellied	1
bellies	1
bellincion	1
bellincione	1
bello	5
bello--tenth	1
bellowed	1
bellowing	2
bells	1
belly	6
belong	1
belonged	14
belonging	4
belongs	3
beloved	9
below	32
belt	4
belzebub	3
benacus	5
benacus--'tis	1
bend	5
bending	3
bends	2
beneath	30
benedict	6
benedictine	1
benefactors	1
benefactors--lucifer	1
benefices	1
benefit	1
benefiting	1
benefits	1
benevento	4
benighted	1
benign	1
benignant	2
benignity	1
bent	26
benumbed	1
benvenuto	16
bequeath	1
bequeathed	2
bequeathing	1
bequests	1
bereft	1
bergamese	2
bernardino	2
berretta	1
berth	1
berti	1
bertrand	7
beseech	1
beside	11
besides	12
besieged	1
besmeared	1
besought	5
best	33
bestead	1
bested	2
bestial	3
bestiality	3
bestow	5
bestowed	4
bethink	1
betray	3
betrayal	1
betrayed	15
betraying	1
betrays	2
better	19
bettered	1
between	74
betwixt	2
bevy	1
beware	3
beyond	22
bezzi	1
bianchi	2
bianco	2
bid	3
bidding	2
bide	2
bids	5
big	4
bigots	1
billows	1
bills	1
bind	1
binding	2
biographer	1
biographers	6
biographical	1
biographies	1
biography	3
bird	5
birds	1
birds--starlings	1
birth	19
bisensio	1
bisenzio	1
bisenzio's	1
bishop	7
bishop--these	1
bishops	2
bit	8
bite	3
biting	4
bits	1
bitten	1
bitter	6
bitterest	1
bitterly	4
bitterness	2
black	28
blacker	1
blackest	4
blacks	18
blacksmith	1
blame	8
blames	1
bland	3
blank	1
blaspheme	1
blasphemed	1
blasphemers	2
blasphemous	1
blasphemy	4
blast	9
