	0
a	107
aback	1
able	3
about	22
abruptly	1
absently	1
absolute	1
absolutely	3
abstraction	1
academic	1
accent	5
accented	1
accept	4
acceptable	1
accepted	3
accommodations	1
accumulate	1
ace	1
acquired	1
across	3
actively	1
added	3
adjective	1
administration	2
advanced	2
after	5
again	6
against	1
age	1
agent	2
agents	1
ago	1
agreed	1
aisle	2
all	15
alleged	1
alley	1
allowed	1
almost	1
along	1
already	1
also	2
altered	1
alternate	6
alternate-probability	1
always	1
america	6
american	4
among	2
an	16
and	127
andrew	1
angry--timid	1
announcer	1
announces	1
another	18
anozzer	1
answer	1
any	7
anybody	1
anything	2
apart	1
appearances	1
appears	1
appen	1
are	6
aren't	3
arising	1
armies	2
army	1
arnold	1
around	1
arrived	3
as	29
ashore	1
asked	4
asking	2
assumption	3
assumptions	1
at	24
attendant	1
attention	1
audience	2
awake	1
away	2
back	7
background	1
backing	1
bad	2
badges	1
baffled	1
bafflement	1
ball	1
banished	1
bank	3
banker	1
banks	1
barriers	2
basic	1
basically	1
batches	1
battle	2
be	36
beach	1
beam	2
became	1
because	3
become	1
becomes	1
been	29
before	9
began	1
begin	1
beginning	2
behind	1
being	4
believe	3
below	1
benedict	1
beside	7
better	3
between	1
big	2
bill	8
bills	1
bills--general	1
bit	1
blame	1
blamed	1
bong	2
bony	1
book	4
books	3
bookshop	1
born	2
both	3
bother	1
bought	1
bourbon	1
box	1
boy	1
brand	1
brandished	1
breech-loading	1
briefly	1
bronx	1
bullet	1
but	26
but_--suppose	1
button	1
by	14
cadence	1
call	2
called	2
calling	1
came	4
can	11
can't	4
cancel	2
car	3
cards	1
care	1
carefully	2
carry	2
cars	1
case	1
cases	2
casual	1
catch	2
cautious	1
century	5
certainly	1
certificate	1
chair	1
challenging	1
changed	7
changes	2
characters	1
chest	1
chinese	1
christopher	1
chuckled	1
cigar	1
cigarettes	1
circumstances	1
civil	3
class-war	1
clerk	1
closely	1
clothes	2
club-car	3
coexistent	1
coincidence	1
collaboration	1
colleagues	1
collect	1
college	2
colonel	15
colony	1
colorless	1
columbus	9
come	2
comes	2
comfortably	1
commander-in-chief	1
commentary-voice	1
common	1
compartment	2
completely	5
concept	1
conditions	1
conflict	1
conquers	1
consciousness	1
consequence	1
conservative	1
conservatively	1
considering	1
consternation	1
constitutionally	1
constructed	1
contemplating	1
contradicted	1
conversation	6
coordinates	1
copyright	1
corrected	1
costume	3
could	18
couldn't	1
counterfeit--it	1
countree	1
country	4
country--a	1
couple	3
course	2
court	1
cover	1
coward	1
crackpot	1
crackpots	1
creative	1
credit	1
crew	1
crossroads	9
crossroads--of--_destiny	1
crowd	1
crystal	1
curiously	2
cut	3
dallied	1
damn	1
damned	1
dead	1
decide	1
decided	3
decisions	1
defined	1
demolished	1
department	2
departure--this	1
deserted	1
destiny	6
destroy	1
diamond	1
did	9
didn't	6
difference	4
differences	3
different	12
differently	2
dimension	7
dimensions	2
diplomat	2
disappearances	1
disbelieve	1
discovered	1
discovery	1
discussing	1
distributed	1
dividing	1
dizzy	1
do	6
doctrinaire	1
does	1
doesn't	3
dollar	5
don't	9
done	2
doubt	1
down	4
dozen	1
dramatization	2
dramatize	1
drank	1
drawn	1
dress	1
dressed	1
drink	9
drinks	2
during	2
each	2
early	1
earnestly	1
ears	1
easily	1
eccentrically	1
economic	1
edge	2
een	1
ees	3
eet	2
effects	2
eighth	1
either	2
elderly	6
election	1
eleventh	1
else	2
emphasis	1
emphasize	2
empty	1
end	7
ending	1
enemies	1
enemy	1
england	4
english	8
enjoyed	1
enormous	1
enough	3
entire	2
episode	1
equally	1
ericson	1
errors	1
etext	1
europe	1
even	3
event	4
eventually	1
ever	1
every	2
everything	1
evidence	3
evolve	1
exacting	1
examination	1
examining	1
excited	2
exclaimed	2
excused	1
exist	2
expect	1
expected	2
expert	1
explain	4
explanation	1
expressed	1
extensive	1
extent	2
extraordinary	1
eyes	1
face	1
faceless	1
fact	1
faculties	1
fail	1
fake	2
falls	1
familiar	1
families--different	1
famous	1
fantastic	1
far	2
fare	1
fashion	1
favorite	1
favorites	1
fear	1
federal	1
fellow	1
ferguson	1
ferguson--the	1
few	1
fiction	1
fictional	1
field	1
fifth	2
figure	1
filter	1
finally	1
find	1
fine	1
finished	2
first	5
fitted	1
five	3
fix	1
flag	5
flying	1
flying-object	1
folded	2
followed	1
for	24
foreigner	2
formal	1
fortunately	1
found	2
four	1
four-dimensional	1
fourth	2
freak	1
free	1
french	4
friend	1
from	19
fu	1
furnishing	1
further	1
gave	2
gazing	1
geetu	1
general	3
generalities	1
gentleman	2
george	3
german	1
germantown	1
gesturing	1
get	12
gets	1
getting	5
gin-and-tonic	2
girl	1
give	3
gives	1
giving	1
glass	4
glimpsed	1
god	3
goes	1
going	4
gold	1
gold-certificates	1
gone	1
good	6
got	12
gotten	2
government	1
gray	2
greek	1
green	1
greg	1
grin	1
groaned	1
groomed	1
ground	1
grow	1
guest	3
guided	1
gun	1
gutenberg's	1
h	1
had	49
hah	1
hair	1
half	2
half-hour	1
hand	3
hand-luggage	1
handled	1
hands	1
handy	1
hangover	1
happen	3
happened	11
happening	2
hard	1
hardly	1
harrisburg	2
has	3
hastily	1
have	41
he	70
he'd	7
he'll	2
he's	2
head	3
heard	1
held	2
hell	2
help	1
henry	8
her	1
here	2
hero	1
heroes	1
hesitation	1
highball	4
him	22
him--the	1
himself	1
his	29
historian	1
historic	1
historical	1
history	16
hit	3
holding	1
hon	1
hoped	1
hospitable	1
how	15
how's	1
http://www.pgdp.net	1
huh	1
humor	1
i	82
i'd	6
i'll	1
i'm	1
i've	2
idea	7
idea's	2
ideas	2
identification	1
identify	1
if	15
ignore-and-forget	1
imaginary	1
imagination	1
imagine	2
imitation	1
immediate	1
implications	1
impossible	1
impresario	1
impression	1
improved	1
impulse	1
in	77
incalculable	1
incredible	1
indicate	1
individual	1
infinite	1
innocent	1
inquired	1
inside	2
insignia	1
insisting	1
instant	2
instants	2
instead	3
instrument	1
intelligence	2
interested	2
into	10
intoned	1
introduce	1
invented	2
inventions	1
irredeemably	1
is	19
isn't	5
issued	1
istoree	1
it	82
it'll	3
it's	3
it--certainly	1
its	1
itself	1
jackknife	1
jackson	4
july	1
just	10
keenly	1
keep	4
kids	1
killed	2
kind	1
king	4
kings	1
knew	2
knife	1
know	15
known	2
knows	1
land	1
langmuir's	1
lap	1
last	1
lasted	1
later	3
latter	1
lawyer	1
lead	2
leak	1
leaking	2
least	1
leif	1
less	1
lesser	1
let	1
let's	1
level	2
life	1
lifeboats	1
light	1
like	12
limits	1
lines	1
lingmuir's	1
little	2
live	1
locate	2
logical	2
lone	1
long	6
look	3
looked	10
looking	5
lord	1
lot	3
lowered	1
luck	1
ludicrous	1
luggage	2
machine	1
made	6
majesty	1
make	6
man	42
man's	2
many	2
march	1
marked	1
married	1
marry	1
marrying	1
master	1
matter	2
may	3
maybe	8
me	16
mean	5
means	1
measuring	1
melwani	1
men	2
mentioned	3
mentioning	1
merely	1
met	1
metal	1
might	5
military	1
militia	1
mind	2
mine	1
minutes	2
misplaced	1
mistake	1
mistakes	1
mixed	2
moment	4
moment's	1
momentous	1
monetary	1
money	2
money--it	1
monsieur	1
more	3
morning	1
most	3
much	6
mumble	1
must	8
my	15
myself	1
mysteries--the	1
mysterious	1
name	2
napoleon's	1
national	1
necktie	1
need	5
never	3
new	2
next	7
nightcap	1
no	12
nobody	4
nobody's	1
non	2
non-meteoric	1
normal	2
normally	1
not	12
note	1
notebook	1
nothing	1
noticed	2
now	5
number	1
objects	1
obstacle	1
obverse	1
odd	2
oddball	1
oddly	1
of	125
of--any	1
off	4
officer	2
often	1
oh	1
older	1
on	22
once	2
one	23
one--that	1
ones	1
online	1
only	8
onto	1
opposite	1
or	23
ordered	2
original	1
other	17
other-time-dimension	1
our	16
ours	2
ours--and	1
ours--same	1
out	17
outside	2
over	6
over-conservatism	1
ow-you-say	1
own	4
ozzer	2
painting	1
parallel	1
pardon	1
part	3
passenger-car	1
passing	1
patrick	2
pay	1
peacefully	1
pen	1
people	5
people_--not	1
period	1
permanent	1
persecuted--will	1
phenomena	1
phony	1
physical	2
pick	2
picture	3
pictures	1
pieces	1
piper	2
place	4
plain	1
plane	1
planet	3
planning	2
plant	1
play	1
played	1
plenty	1
plot	1
plot--the	1
plump	13
pocket	3
point	3
pointed	1
policy	1
port	1
porter	4
porter--perfectly	1
positively	1
possession	1
possibilities	1
possibility	1
powerful	1
powers	1
present	4
president	3
presidential	1
pricked	1
print	1
probabeelitay	2
probability	3
probably	1
probibeelitay	1
problems	1
produce	1
produced	2
producing	1
professor	1
program	3
project	1
pronounced	1
pronunciation	1
proof	1
proofreading	1
prove	4
prussia	1
pseudo-explanation	1
public	3
publication	1
published	2
push	1
put	3
questioned	1
quite	2
race	1
railway	1
rang	1
rash	1
rather	1
reached	1
read	1
readers	1
reading	1
ready	1
real	3
realization	1
realize	2
realized	2
really	7
rear	1
reason	4
recognized	1
registers	1
relieved	1
remark	1
remember	2
renewed	1
reported	2
reports	2
representative	1
research	1
resented	1
respectable	1
rest	1
restaurant	1
result	1
results	1
resum	1
reverie	1
revolution	1
ride	1
rifle	1
right	9
rigorously	1
rocks	1
ruin	1
run	1
running	2
rush	1
rushing	1
rye	1
safe	1
said	15
sail	1
sailing	1
sailors	1
same	4
sandy	1
sandy-haired	10
saracens	1
sat	6
save	2
saw	1
say	5
say--zees	1
saying	4
says	1
scared	1
school	1
schoolchild	1
science	3
scienteest	1
scientists	2
scottish	2
scribbled	1
second	3
seconds	3
sectional	1
see	3
seeing	1
seemed	2
seems	2
seen	2
sensational	1
separate	2
separated	1
series	1
seriously	1
set	3
settled	1
seventh	4
shange	1
shave	1
shifted	1
ship	1
ships	3
shirt-collar	1
shook	1
short	1
shot	2
should	1
shouldn't	1
shout	2
show	11
showed	1
shrugged	1
side	5
sight	2
sightings	2
silently	1
silk	1
silver	2
simply	1
since	1
sing	1
single	1
sip	2
sir	2
sitting	1
situation	1
size	1
slightly	2
slip	1
smashed	1
smiling	1
smoking	1
so	9
social	3
society	1
sold	2
some	11
somebody	3
something	10
sometimes	1
sooner	1
sorry	1
sort	3
sound	2
sounded	1
sounds	1
space	1
spain	2
spanish	1
speak	1
speaking	1
special	1
spendable	1
spent	1
spoke	1
sponsor'll	1
st	1
staff	3
stand-tray	2
stands	1
star	1
staring	1
start	1
started	4
startled	2
state	1
states	9
stay	1
staying	1
step	2
stephen	1
stick	1
still	1
stop	2
stories	2
story	2
strain	1
stranger	3
strung	1
studied	1
stuff	1
style	1
subject	1
such	5
suggested	2
suggesting	1
suit	3
suits	1
support	1
suppose	4
sure	4
surprised	1
surprises	1
survived	1
swear	1
sword	1
syllable	1
tailored	1
take	2
taken	3
takes	1
taking	2
talk	2
talked	1
talking	2
tall	1
taught	1
teacher	1
team	1
television	4
tell	3
telling	1
tells	1
tempted	1
tennessee	1
texans	1
than	3
thank	1
that	79
that's	6
the	298
their	1
them	16
themselves	1
then	21
theoretically	1
theories	1
theory	3
there	9
there'd	1
there's	3
these	4
they	14
they'd	1
thing	8
things	11
think	11
thinks	1
third	1
thirty	2
this	26
those	3
though	8
thought	5
three	2
through	2
throw	1
till	2
time	21
time-a	4
time-b	3
time-dimension	3
time-dimensions	1
times	2
timid	1
tipped	1
title	1
to	95
tobacco	1
today	3
together	2
told	4
tolerated	1
too	6
took	6
topic	2
tours	1
toward	1
train	4
trained	1
trance	1
transcriber	1
tray	2
treasury	1
treatment	2
true	2
try	3
trying	2
turn	2
turned	2
tv	2
twelve-year-old	1
twenty	1
twenty-five	1
twice	1
two	2
type	1
typical	1
umm	1
uncover	1
under	5
uneasy	1
unexplained	1
unfolded	1
unfriendly	1
unidentified	1
unimaginative	2
united	9
universe	2
unless	1
unopened	1
unsupported	1
until	4
up	12
urged	1
urging	1
us	5
use	2
used	2
using	2
usually	2
vacant	1
vanished	1
vast	1
very	3
vest	2
victory	1
visible	1
voice	1
wading	2
waited	1
waiter	5
waiting	1
wanted	2
war	4
wars	1
was	51
washington	5
wasn't	8
watch	3
way	12
we	28
we'd	2
we'll	5
we're	2
we've	1
wearing	1
week	1
weeks	1
weet	1
well	12
went	3
were	7
what	23
when	7
where	7
whether	4
which	9
while	2
who	15
who'd	1
whole	1
whom	1
whose	1
why	4
widgets	1
wild-eyed	1
will	9
willing	1
wine	1
wish	1
wished	1
with	23
without	1
won	1
won't	2
wonder	4
wondered	4
word-sounds	1
words	1
work	5
working	2
world	15
worlds	4
worried	1
worth	1
would	26
wouldn't	7
wrist	1
written	3
wrong	1
year	2
years	2
yes	2
yet	1
yogic	1
york	1
you	41
you'd	3
you're	3
you've	1
young	2
your	3
zat	2
zee	2
zees	4
zees--'ow	1
zeese	1
zen	2
zey	1
zhenerally	2
zings	1
