	0
a	4645
a'lee	1
a'low	1
a'most--i	1
a'ready	2
a'shiver;--out	1
a'top	2
a-begging	2
a-calling	1
a-going	1
a-h-o-y	1
a-piece	1
a-plenty	1
a-preaching	1
a-rush	1
a-whalin	1
a-whaling	5
a.d	12
a.s	1
aback	2
abaft	2
abandon	3
abandoned	7
abandonedly	1
abandonment	2
abased	2
abasement	1
abashed	2
abate	1
abated	3
abatement	1
abating	2
abbreviate	1
abbreviation	1
abeam	1
abed	2
abednego	1
abel	1
abhorred	3
abhorrence	1
abhorrent	1
abhorring	1
abide	3
abided	1
abiding	1
ability	1
abjectly	1
abjectus	1
able	9
ablutions	2
aboard	21
abode	2
abominable	3
abominate	1
abominated	1
abomination	1
aboriginal	4
aboriginally	1
aboriginalness	1
abortion	1
abortions	1
abound	3
abounded	1
abounding	7
aboundingly	1
about	307
about--however	1
above	55
above-ground	1
above-mentioned	1
abraham	3
abreast	3
abridged	2
abroad	6
abruptly	2
absence	5
absent	6
absent-minded	4
absolute	4
absolutely	3
absorbed	4
absorbing	2
absorbingly	1
abstained	1
abstemious	1
abstinence	1
abstract	1
abstracted	1
abstraction	1
absurd	3
absurdly	1
abundance	4
abundant	3
abundantly	2
academy	1
accelerate	3
accelerated	1
accelerating	2
accept	1
accessible	1
accessory	2
accident	6
accidental	1
accidentally	4
accidents	6
accommodate	2
accommodated	1
accommodation	1
accompanied	6
accompanies	1
accompaniments	3
accompany	2
accompanying	5
accomplish	1
accomplish?--gayer	1
accomplished	7
accomplishing	1
accomplishment	1
accordance	3
according	25
accordingly	8
accosted	4
account	34
accountable	1
accountants	1
accounted	9
accounting	1
accounts	9
accumulate	1
accumulated	3
accumulating	1
accuracy	3
accurate	1
accurately	2
accursed	10
accustomed	5
acerbities	1
ache	2
ached	1
achieve	1
achieved	4
achilles's	1
acknowledges	1
acknowledging	1
acquaintance	2
acquaintances	2
acquainted	4
acquiesce	1
acquiesced	1
acquiescence	1
acquired	2
acre	2
acres	3
acridness	1
across	31
act	29
act's	1
acted	3
actest	1
action	9
actions	2
actium	1
active	8
actively	3
activity	9
acts	3
actual	3
actually	16
actuated	1
acushnet	1
acute	1
acuteness	1
adam	5
adam's	1
adapted	4
add	6
added	24
added--"come	1
adding	3
addition	2
additional	12
address	4
addressed	7
addressing	4
adds	1
adequate	2
adequately	7
adhering	4
adhesiveness	1
adieu	5
adieux	1
adios	1
adjacent	2
adjoining	2
adjust	1
admeasurement	1
admeasurements	2
administered	1
administering	1
admirable	5
admirably	2
admiral	2
admiral's	2
admirals	3
admire	3
admirer	1
admirers	1
admit	8
admits	3
admitted	3
admitting	2
admonish	1
admonished	2
admonishing	1
admonitions	1
admonitory	1
ado	3
adolescence	1
adopt	1
adopted	2
adopting	1
adoption	1
adoration	2
adoring	1
adorned	1
adorning	1
adornment	1
adown	1
adrift	6
adroit	1
adroitly	1
adroop	2
adult	2
adulterer	1
advance	21
advance--as	1
advanced	11
advancement	1
advances	5
advancing	19
advantage	5
advantages	1
advent	1
adventure	5
adventures	6
adventurous	4
adventurously	1
adverse	1
advert	1
advertised	1
advice	6
advised	1
advocate	3
aerated	1
aesthetically	1
aesthetics	1
afar	5
affair	17
affairs	6
affect	4
affected	8
affecting	1
affection	3
affectionate	4
affectionately	1
affghanistan	1
affidavit	2
affinities	1
affirm	1
affirmative	1
affirms	1
affixed	1
afflicted	1
afflictions	1
affluent	1
afford	9
afforded	5
affording	2
affords	2
affright	2
affrighted	6
affrights	2
affronted	1
afire	2
afloat	12
afoam	1
afore	5
aforesaid	1
aforethought	2
afoul	1
afraid	15
afresh	3
afric	2
africa	8
african	3
africans	1
aft	30
aft,--"man	1
aft--the	1
after	261
after--"he's	1
after-claps	1
after-hatches	1
after-hold	1
after-oar	1
after-oarsman	1
afternoon	10
afternoons	1
afterwards	25
again	254
again!--close	1
again!--drive	1
again!--there	1
again--the	1
again--there	1
again--under	1
again.--aye	1
againe	1
against	133
against--but	1
agassiz	1
age	21
aged	5
agencies	4
agency	3
agent	8
agents	3
ages	15
aggravate	1
aggregate	3
aggregated	2
aggregation	1
aggregations	1
aggrieved	1
aghast	4
agile	1
agitated	4
aglow	2
ago	32
ago!--ago	1
ago--never	1
ago--not	1
agonies	1
agonized	2
agonizing	3
agonizingly	2
agony	7
agrarian	1
agree	2
agreeable	1
agreed	3
agrees	1
aground	1
ague	1
ah	20
ah!--i	1
ah!--the	1
ahab	420
ahab!--shudder	1
ahab's	75
ahab,--all	1
ahab,--aye	1
ahab--"is	1
ahab--"touch	1
ahab--his	1
ahab--in	1
ahab--invested	1
ahab--there's	1
ahab--though	1
ahab?--but	1
ahabs	1
ahasuerus	2
ahaz-dial	1
ahead	24
ahead--moby	1
ahoy	7
aid	1
aides	1
ails	1
aim	3
aimed	1
aimlessly	1
ain't	19
aint	4
air	136
air!--how	1
air,--but	1
air--as	1
air-eddy	1
air-freighted	1
air-sharks	1
airley	1
airs	1
airth	2
aisle	1
ajar	1
akin	4
alabama	6
aladdin's	1
alarm	8
alarmed	7
alarms	2
alas	10
alb	1
albatross	9
albatrosses	1
albermarle	1
albert	1
albicore	1
albino	3
alcoves	2
aldermen	1
aldrovandi	1
aldrovandus	1
ale	4
aleak	1
alert	2
alewives	1
alexander	3
alexanders	1
alfred	2
algerine	2
algiers	1
alien	5
aliens	1
alights	1
alike	11
aliment	1
alive	24
all	1477
all,--the	1
all--declared	1
all--presbyterians	1
all--seemed	1
all--the	1
all--there's	1
all--were	1
all-abounding	1
all-color	1
all-contributed	1
all-controlling	1
all-destroying	1
all-engrossing	1
all-fired	1
all-grasping	2
all-outward	2
all-pervading	2
all-quickening	1
all-ramifying	1
all-receptive	1
all-seeing	1
all.--why	1
all;--but	1
all;--look	1
allay	1
allaying	1
alleged	4
alleghanian	1
alleghanies	1
allegiance	1
allegorical	1
allegory	1
alley	1
alleys	1
allies	4
allotted	1
allow	3
allowance	2
allowances	1
allowed	6
allowing	2
allude	2
alluded	6
alluding	2
allured	3
allurements	1
allures	2
alluring	2
alluringly	1
allurings	1
allusion	5
allusions	7
almanack	3
