	0
a	1069
a-b-c	10
abandon	2
abandoned	2
able	11
about	51
above	2
accepted	1
accepting	1
accident	1
according	1
account	5
accounts	1
accusing	1
accustom	1
ached--laughed	1
acquire	1
across	11
act	2
actors	1
actresses	1
added	5
adding	2
addio	4
addressed	1
admire	1
admired	1
admit	2
admitted	1
ado	1
adorned	3
adventures	1
advice	8
afar	3
affectionately	1
afraid	9
africa	1
after	98
afterwards	1
again	54
again--laughed	1
against	8
age	4
ages	2
ago	7
agree	2
ah	8
ahead	3
aid	1
air	12
airing	1
alabaster	1
alas	1
alidoro	7
alive	13
all	157
allow	6
allowed	2
almost	22
alms	2
alone	13
along	17
already	1
also	20
although	3
altogether	1
always	39
am	97
amazement	1
america	1
amid	1
ammunition	1
among	9
amount	1
amuse	1
amuses	1
amusing	1
an	66
anchovies	3
and	1431
and--e--tchee!--e--tchee	1
angle	1
angrier	2
angrily	10
angry	8
animal	9
animals	5
announce	1
announcement	1
announcements	1
another	42
answer	17
answered	78
answering	1
answers	1
antics	1
antonio	9
ants	2
anxious	1
anxiously	2
any	29
anyone	2
anything	9
anywhere	1
apart	1
apologize	1
apparition	1
appear	2
appearance	2
appeared	6
appeased	2
appetite	1
appetizing	1
applause	4
apple	1
approached	1
approaching	2
apt	1
are	143
aren't	3
argue	1
argument	1
arithmetic	4
arm	7
arms	13
arose	1
around	31
arrayed	1
arrested	1
arrived	3
artery	1
artist's	1
artists	1
as	379
ashamed	10
ashes	1
aside	3
ask	4
asked	71
asleep	16
assailers	1
assass	1
assassin's	1
assassins	20
asthma	2
astonishment	1
astray	2
astride	1
at	250
ate	7
atom	1
atop	1
attempted	1
attendance	1
attention	1
attentive	1
attila	1
attracted	1
audacity	1
audience	4
audiences	1
awaited	1
awaiting	4
awake	6
awaken	1
awaken--and	1
awakened	4
awakening	1
awakens	1
away	63
awful	3
awkward	1
awkwardly	1
awoke	5
azure	15
b	1
babies	1
back	44
backs	3
backward	2
bad	27
bade	1
bag	8
balcony	1
ball	2
balloon	1
band	2
bang	2
bared	1
barely	1
bargain	1
bark	6
barked	2
barks	1
barred	2
basin	1
basket	1
baskets	2
bass	3
bath	1
bathed	1
bats	2
battle	2
battles	1
be	211
beach	2
beak	2
beam	1
beaming	1
beans	1
bear	2
beard	5
bears	1
beast	6
beasts	1
beat	5
beating	2
beautiful	15
beautifully	1
became	27
because	27
because--you	1
beckoning	1
become	29
becomes	3
becoming	5
bed	23
bedraggled	1
been	57
been--and	1
bees	2
before	37
beg	18
began	32
beggar	1
beggars	1
begged	5
begging	4
begin	1
beginning	9
begins	3
behave	2
behavior	1
behind	4
behold	1
behold--there	1
being	29
believe	14
believed	2
bell	4
bells	1
belong	2
belonged	1
belongs	1
below	2
bemoan	1
bench	2
bench--no	1
bending	3
benefactress	1
bent	2
beseeched	1
beseeching	2
beside	3
besides	1
best	16
betide	1
better	23
between	14
beware	3
beyond	1
bicycles	1
bid	1
big	14
bigger	3
biggest	1
bill	1
bind	1
bird	3
birds	2
birth	1
bit	19
bite	10
bites	2
bitter	9
bitterly	7
black	19
blackberries	1
blackbird	3
blackened	1
bleated	1
bleating	2
bless	2
blessed	4
blessings	1
blew	3
blind	5
blindman's	1
block	1
blossoms	1
blow	11
blowing	1
blown	2
blows	3
blue	5
boat	12
body	9
boil--tac!--he	1
boiling	3
boldest	1
bone	1
bones	1
bones--or	1
book	20
books	14
bookstore	1
boots	1
bore	2
born	4
both	18
bother	2
bothers	1
bothersome	1
bottle	1
bottles	1
bottom	3
bottomless	1
bought	6
bound	2
boundaries	1
bounds	3
bow	3
bowed	3
bowing	2
bowl	4
bows	1
box	2
boxes	3
boy	68
boy's	2
boys	65
bragging	1
brain	4
brains	1
brambles	1
branch	3
branches	1
brass	1
brave	6
bravely	4
bravo	3
bray	2
brayed	2
braying	1
brays	1
bread	18
break	3
breakfast	6
breaking	5
breast	1
breath	7
breathe	2
breathed	2
breathing	3
breeches	3
bribed	1
bribery	1
bricklayer	2
bridle	1
bridled	1
bright	8
bright--and	1
brighter	1
brilliant	4
bring	8
bringing	1
broke	4
broken	1
brokenly	1
brook	2
brooks	1
brother	5
brothers	1
brought	7
brown	3
brrrr	1
brrrrrr	1
bruised	1
brush	1
brushes	1
bucketfuls	1
buckets	1
buckles	1
buff	1
build	1
building	5
built	3
bulging	1
bullet	1
bump	2
bunch	1
bundle	4
burden	1
buried	2
burn	7
burned	3
burning	3
burst	6
bursting	4
bury	3
bush	1
bushes	3
busily	3
business	1
busy	4
but	255
butter	4
buttered	2
butterflies	2
buttons	4
buy	16
buyer	2
buying	3
buzz	1
by	117
c	1
c's	1
cake	2
cakes	1
call	9
called	33
calling	2
calls	2
calm	6
calmly	2
calumnies	2
came	52
camellias	1
can	55
can't	18
canary	1
candies	1
candle	6
candles	1
cannon	1
cannot	5
cap	10
cap--but	1
caps	2
carabineer	5
carabineers	6
cardboard	2
care	12
cared	1
careful	9
carefully	1
caress	1
caressed	3
carlo	1
carol	1
carpenter	8
carpenter's	1
carried	3
carries	1
carry	5
carrying	5
carts	2
carver	2
case	8
castles	1
cat	40
cat's	3
catcalls	1
catch	9
catching	1
cats	2
caught	13
cauliflower	4
caused	1
cave	6
cease	2
ceases	1
ceiling	2
celebrate	2
celebration	1
cellar	1
cents	4
centuries	3
certain	4
certainly	6
chain	3
chair	7
chalk	2
chance	10
change	2
changed	5
changes	1
chapter	37
chapters	1
charcoal	1
charitable	1
charles	1
charming	1
chase	4
chased	3
chasing	1
cheat	1
cheated	1
checks	1
cheek	1
cheeks	2
cheer	1
cheerful	1
cheers	1
cheese	5
cherries	1
cherry	7
cherry's	1
chest	2
chew	1
chewed	3
chewing	1
chick	2
chick-peas	3
chicken	8
chickens	9
chiesa	1
chilblains	1
child	5
childhood	1
children	16
children--and	1
children--burst	1
chimney	1
chin	4
chocolate	2
chocolate-colored	1
choice	1
choked	2
choose	2
choosing	1
circus	7
city	8
civilization	1
clad	1
clapped	5
clasped	1
classmate	2
classroom	1
claws	2
clean	1
cleaned	1
clear	4
cleared	1
clearer	1
clever	1
cliff	3
climb	7
climbed	4
clock	1
close	10
closed	18
closely	5
closet--no	1
cloth	2
clothes	10
clouds	3
clump	1
clutched	1
clutches	1
coach	7
coachman	2
coachman's	1
coal	4
coals	4
coat	24
coats	1
coaxed	1
coaxing	1
cock	1
coffee	2
coffee-and-milk	2
coffin	4
coins	5
cold	17
collar	7
colleague	2
colleges	1
collodi	1
color	5
colored	1
colors	3
colt	1
column	1
combless	1
come	83
comes	2
comfort	4
comfortable	3
comfortably	1
coming	12
command	1
commanded	1
common	3
companion	3
companions	5
company	6
compassion	1
compassionate	1
complaint	1
completed	1
completely	1
composed	2
concerned	2
conclusion	1
confused	1
conscious	1
content	2
contented	1
contest	1
continue	1
continued	7
contract	3
