	0
a	306
a-wonderin'--you	1
abandon	2
abandoned	1
abandonment	1
abdomen	2
abhorrent	1
able	1
about	20
above	3
abruptly	1
absorbin	1
abstract	1
abuse	2
abutted	1
accepted	1
accident	1
accommodated	1
accompanied	1
accomplished	1
accordingly	1
ache	1
achieve	1
achieved	1
achievement	1
acquaintances	1
acquitting	1
across	10
action	1
actions	1
add	1
adequately	1
admiration	2
admonished	1
advance	1
advanced	3
advancing	2
advent	1
adventure	1
adventure--the	1
adversary	1
advertised	1
aesthetic	1
affection	1
affectionate	1
afraid	4
afresh	1
after	20
afternoon	3
afterthought	1
afterward	1
again	31
again--but	1
again--in	1
against	23
ahead	1
ain't	1
air	10
aisle	2
alarm	1
alarmed	1
alarmingly	1
alchemy	1
aliens	1
alive	1
all	73
all--of	1
all-potent	1
almost	2
alone	3
along	2
alongside	1
aloof	1
aloofness	1
already	6
also	4
altogether	1
always	6
amazed	1
amazement	1
ambulance	1
american	1
ammonia	1
among	1
amongst	2
amusement	1
an	76
anaemic	1
analyzed	2
and	636
and-blood	1
angel	1
anger	1
angered	1
angry	2
animal	3
announced	1
announcement	2
announcer	6
another	17
another's	1
answer	1
answered	4
antagonism	1
antagonist	3
anticipation	1
anxiety	2
anxiously	3
any	9
anybody	3
anybody's	1
anything	6
anything?--or	1
anyway	1
apart	4
apparent	1
apparently	1
appeal	2
appear	2
appeared	1
applauded	1
applauded--if	1
applause	3
applicable	1
apprehension	1
apprehensiveness	1
approval	1
apt	1
ardent	1
are	5
argument	1
aristocrats	1
arm	11
arm-muscles	1
arms	16
arose	3
around	7
arousing	1
arrangement	1
as	112
ashamed	1
aside	1
ask	1
asked	8
askin	1
asking	2
assault	1
assaults	1
assessments	1
assuming	1
assumption	1
assurances	1
assure	1
assured	1
astonished	1
at	81
atavism	1
athletic	2
atmosphere	2
attack	2
attacks	1
attempted	3
attended	1
attention	2
attentively	1
audible	1
audience	12
austere	2
avarice	1
avenging	1
avoid	2
avoided	2
avoiding	2
aware	8
away	18
awe	2
awful	1
awkward	1
awkwarder	1
awkwardness	1
back	40
backed	1
backward	9
backwards	1
bad	1
baffled	2
bang	1
bank--an	1
bare-legged	1
barn-like	1
bars	1
bass	1
bath	3
batty	1
bay	2
be	50
be--the	1
be-all	1
beady	1
beamed	1
bearing	2
beast	4
beaten	2
beaten--why	1
beautiful	9
beauty	9
became	6
because	10
become	2
been	34
befitted	1
before	27
began	5
begin	1
beginning	6
beginning--joe	1
beguiled	1
behind	5
behold	1
beholding	1
being	19
being--to	1
belied	1
believable	1
beloved	1
bench	1
bending	5
beneath	2
beneficence	1
bent	2
beseechingly	1
beside	3
besides	4
best	3
bet	4
betrayed	3
betraying	1
bets	2
better	4
betting	1
between	9
bewildered	1
beyond	8
bid	2
biggest	2
bipeds	1
bit	5
bite	3
black	1
blackness	1
blankets	1
blasphemy	1
blaze	1
blazed	1
bleak	1
blessed	2
blind	3
blindly	1
bliss	1
block	1
blocked	5
blocking	2
blood	8
blood-cry	1
blooms	1
blow	30
blows	15
blue	2
blue-eyed	1
blurred	1
blurted	2
blushed	1
bodies	4
bodily	2
body	22
body!--stronger	1
body--ach	1
bones--and	1
book	1
borrowed	1
both	9
both--held	1
bottle	4
bottles	2
bottom	1
bottoms	1
bounds	1
boy	13
boy's	5
boyish	5
boys	4
brain	3
break	8
break-down	1
breakaway	2
breakaways	1
breakaways--stiff	1
breaks	1
breast	3
breasts	1
breath	2
breathe	3
breathed	2
breathing	1
brief	1
bright	1
brightened	1
bring	4
briskly	1
bristles	1
broke	1
broken	1
broken-bottomed	1
brokenly	1
brother	1
brothers	1
brought	5
brows	1
brudders	2
bruiser	2
brussels	1
brutal	2
brutality	2
brute	1
brutishness--a	1
buckets	3
bull-necked	1
bunch	2
bunched	1
buried	1
burning	2
burst	2
bursting	1
bushy	1
business	1
bustle	1
busy	2
but	113
buttoned	1
buttoning	1
buy	3
buying	1
by	61
by-play	1
cage	1
call	9
called	4
calling	1
calls	1
calm	3
calmly	3
came	25
cameo	1
can	3
can't	1
candy	5
canvas	10
cap	2
capable	1
capacity	1
car	3
cardboard	1
care	5
career	1
careful	1
carefully	1
carelessly	1
caress	1
caresses	1
caretaking	1
carpet	1
carpets	4
carriage	1
carried	4
carry	1
carrying	2
case	2
casual	2
casually	1
cat-calls	1
catastrophe	1
catches	1
catching	3
caught	3
cause	3
caused	2
cautioning	1
ccx074@coventry.ac.uk	1
cease	1
ceased	1
centre	9
cents	3
chafing	2
chair	2
challenge	1
chance	7
chanced	1
change	3
chapter	6
charm	1
charmed--charmed--i	1
cheapest	1
cheek	5
cheeks	1
cheer	1
cheered	1
cheering	1
cheers	4
chemistry	1
chest	5
chestnut	1
chew	1
chewing	1
chief	1
chiefest	1
child	2
children	3
chill	2
chin	5
china	1
chivalrous	1
choking	1
choose	1
chose	2
chosen	1
chris	1
chromo-trained	1
chum	2
cigar	1
circle	2
circled	2
civilization	1
clad	2
claimed	1
clamour	1
clarion	1
clash	1
clasp	2
class	5
clattering	1
clausen	6
clay	2
clean	12
cleaner	2
cleanly	1
cleanness	2
clear	8
cleared	3
clearing	1
clenched	1
clerk	1
clerks	1
cleverer	1
climbed	1
climbing	1
clinch	16
clinched	1
clinches	7
cling	1
clinging	2
clingingly	1
clock	1
close	3
closed	3
closely	1
cloth	1
clothed	2
clothes	6
club	4
clubs	3
clung	1
cluster	1
clutch	1
clutched	4
clutches	1
clutching	4
coarseness	2
coat	2
coats	1
cobwebs	1
coincidence	1
cold	2
collapse	1
collapsed	1
collar	4
color	2
colossal	1
coma	1
come	9
comes	1
coming	7
commanded	4
common	1
communicated	1
compactly	1
companion	1
company	1
compared	1
compelled	2
compensate	1
complete	1
completely	2
comprehend	1
comprehension	1
compulsion	1
concealing	1
conceived	1
conception	2
concerned	1
concluded	3
conclusion	1
concrete	1
condition	1
conferred	1
confessed	1
confidence	1
confidential	1
confines	1
conflict	1
confounded	1
confused	1
confusion	1
conscious	2
consciousness	1
considered	2
consume	1
contacts	1
contemplated	1
contending	1
content	2
contented	1
contention	1
contest	1
continually	2
continued	1
contract	1
contrary	2
contrition	1
control	3
cool	4
cooler	1
coolness	1
corner	18
corners	4
cosmos	1
cot	2
could	44
counsel	1
count	9
counted	2
counter	2
counting	2
couple	1
couples	1
course	8
courtship	1
cover	4
covered	6
covering	3
craned	1
crash	1
crawl	1
crawled	2
crawls	1
cream	2
creation	1
creations	1
creature	1
cried	2
cries	3
critical	2
crossed	3
crossing	1
crouched	3
crouching	2
crowd	8
crowd's	1
crowded	3
cruel	1
cruelly	1
crushed	1
crushing	2
cry	4
crying	2
curious	3
curls	1
curly	1
currents	1
cursing	1
curves	1
custom	3
customer	1
cut	1
cutting	1
daily	1
dallied	1
damage	3
damp	1
dance	1
danger	1
dangerous	1
dapper	1
dare	1
dared	1
daring	1
dark	3
dark-bearded	1
dark-eyed	1
darkened	1
darling	1
dat	7
david	1
dawn	1
dawned	1
day	7
days	3
daze	2
dazed	3
dazzled	1
de	1
