	0
a	2904
a'reet	1
a-'idin	2
a-'owling	1
a-belderin	1
a-blowin	1
a-callin	1
a-chaffin	1
a-comin	3
a-gallopin	1
a-gettin	1
a-goin	1
a-imitatin	1
a-keepin	1
a-lookin	1
a-many	1
a-puffin	1
a-shining	1
a-shiverin	1
a-talkin	1
a-tearin	1
a-trembling	1
a-waitin	1
a-walkin	1
aback	1
abaft	2
abandon	1
abandoned	2
abasement	1
abated	1
abating	2
abbey	9
abed	1
abhorred	2
abide	1
ability	1
ablaze	1
able	47
abnormal	1
abnormally	2
aboard	7
aboon	2
aboord	1
aboot	3
about	231
above	17
above"--he	1
abraham	4
abramoff	1
abreast	3
abroad	6
absence	2
absent	2
absolute	8
absolutely	12
absolved	1
absorb	1
absorbed	2
absorbing	2
abstract	1
abut	1
abyss	1
acant--simply	1
accentuated	1
accept	16
acceptance	1
accepted	2
accepting	3
accepts	2
access	1
accident	9
accidental	1
accidents	1
accomplished	2
accord	6
accordance	3
according	2
accordingly	3
account	22
accounts	1
accumulation	2
accuracy	3
accurate	8
accurately	3
accursed	1
accused	1
accustomed	7
acherontia	1
achieve	5
achieved	3
aching	1
acknowledge	2
acquaintanceship	1
acquainted	1
acquiesce	1
acquiesced	4
acquiescence	4
acquire	1
acquired	1
acquiring	1
acres	1
acrewk'd--a	1
acrid	3
across	28
act	33
acted	1
acting	1
action	22
actions	3
active	7
acts	2
actual	3
actually	15
acumen	1
acute	1
acutely	1
ad	7
adamantine	1
adapted	1
add	10
added	25
addendum	1
adding	1
addition	2
additional	2
addle	1
address	8
addressed	4
addresses	2
addressing	2
adduce	1
adduced	1
adelphi	1
adequately	1
adhered	1
adjacent	1
adjusted	2
admirable	1
admiralty	1
admire	1
admission	1
admit	7
admitted	1
adopt	1
adopted	1
adornments	1
advance	5
advance--a	1
advanced	10
advancement	1
advancing	1
advantage	3
adventure	9
adventures	2
adventurous	1
advertise	1
advice	1
advisable	1
advise	2
afar	5
afeard	1
afeared	1
affair	8
affairs	13
affect	2
affected	6
affection	1
affectionate	1
affects	2
afflict	1
afflicted--or	1
affliction	1
afford	5
afforded	1
affording	1
affright	1
affront	1
afield	2
afoot	1
afore	8
afraid	40
afraid!--i	1
afresh	3
africa	1
aft	1
after	206
afternoon	17
afternoon._--for	1
afternoon._--i	1
afterwards	14
afterwards--for	1
aftest	1
again	246
against	66
agatha	5
age	14
aged	1
ageeanwards	1
agency	2
agent	12
agents	2
ages	3
agglomeration	1
aggressive	1
aghast	1
agin	1
agitated	1
agitation	1
aglow	1
ago	26
agone	1
agonised	7
agonising	4
agony	8
agree	5
agreed	12
agreeing	2
agreement	3
ague	1
ah	29
aha	4
ahead	8
ahint	1
aid	16
aided	1
aiding	2
aids	2
aiming	1
ain	2
ain't	12
air	51
air--i	1
air-blebs	1
air-space	1
airly	1
airs	1
airt	1
aitetropos	1
ajar	2
akin	1
al	1
alacrity	2
alarm	3
alarmed	5
alarming	1
alarms	1
alas	20
albemarle	1
alchemist--which	1
alder-trees	1
alert	3
alight	1
alike	1
alive	12
alive--madam	1
all	1148
all--and	1
all--even	1
all--this	1
all-embracing	1
all-important	1
all-in-all	1
all-right	1
allay	1
allayed	1
allaying	1
alley	2
alliance	2
allied	1
allies	1
allow	6
allowable	1
allowed	3
allows	1
allusion	1
almanac	1
almighty	5
almost	67
aloft	1
alone	80
along	55
alongside	2
aloof	1
aloud	1
alphabetical	1
already	61
already--and	1
already--for	1
already--that	1
also	41
alter	1
alternative	2
althegither	1
although	17
altogether	15
altogether--though	1
always	64
am	336
amalgamation	1
amateur	1
amaze	1
amazed	6
amazement	6
amen	1
amenable	2
america	3
american	4
americanism	1
amid	4
amidst	2
among	8
amongst	40
amount	9
amsterdam	13
amuse	1
amused	3
