	0
a	785
a----t	3
abandon	3
abandoned	4
abandoning	1
abide	2
abilities	1
able	9
abler	1
abode	1
abolition	1
abound	1
about	26
above	21
abreast	1
absence	3
absent	1
absolute	1
absolutely	3
abundance	8
abundantly	1
accept	1
acceptable	2
accepted	1
access	1
accident	1
accommodate	1
accommodated	2
accompanied	2
accompaniments	1
accompany	1
accomplish	3
accomplished	1
according	1
accordingly	6
account	16
accounted	2
accoutrements	1
accrued	1
accumulation	1
accused	2
accusers	1
accustomed	1
acid	1
acknowledged	2
acquaint	1
acquaintances	3
acquainted	5
acquainting	1
acquire	3
acre	5
acres	10
across	1
act	9
acted	1
action	2
acts	7
actual	5
actually	23
acute	1
adapted	4
addicted	3
addition	2
address	1
addressed	1
adheres	1
adieu	1
adjoining	2
adjudged	1
administered	2
administration	2
admirable	1
admiral	2
admiralty	4
admiration	4
admired	6
admirer	1
admit	1
admittance	3
adopted	4
adoption	1
adulterate	1
advance	2
advanced	1
advantage	7
advantageous	1
advantages	3
adventurers	2
advice	2
advised	1
advocates	1
affecting	2
afflicted	3
affluence	1
afford	6
afforded	2
affording	1
affords	2
africa	2
after	93
afternoon	3
afterwards	18
again	6
against	22
age	1
ago	4
agreeable	7
agreeably	3
agriculture	1
aided	1
air	7
alarm	2
alarmed	2
alarming	2
alexander	1
aliens	2
alive	6
all	87
allayed	1
alledging	1
allegiance	2
alleviate	1
alliance	1
alligator	3
allotments	4
allow	1
allowance	2
allowed	17
allowing	1
allure	1
almighty	1
almost	13
alone	2
along	3
already	3
also	79
altar-piece	2
altered	1
although	14
altogether	1
always	1
am	1
amazing	3
amazingly	1
amends	1
america	11
american	10
americans	10
amidst	3
ammunition	1
among	36
amongst	1
amount	12
ample	3
amputation	1
amusement	3
amusements	2
an	107
anchor	4
anchors	1
ancient	1
and	1310
andrew	1
andrew’s	1
anglers	1
angles	1
angry	2
animal	9
animals	10
animosities	1
announced	1
annually	3
annualy	1
annum	25
another	15
answered	4
answering	1
answers	2
ant	5
antidote	1
antigua	2
antipathy	1
ants	5
any	78
apartment	1
apartments	4
appeal	1
appeals	2
appear	8
appearance	31
appeared	3
appearing	1
appears	5
appetites	1
apple	15
apples	14
applied	4
apply	3
appoint	1
appointed	13
apprehend	4
apprehended	4
apprehending	2
apprehensions	3
apprehensive	4
approach	4
approaches	1
approaching	3
approbation	1
appropriated	4
aqueduct	1
arbitrary	1
arbour	1
archive	1
ardent	1
are	473
arise	1
arises	1
arising	2
armament	1
armed	6
arms	25
armstrong	1
army	4
arnault	1
aromatic	2
arose	1
around	3
arranged	1
arrears	1
arrival	6
arrived	4
arriving	1
arrow	1
arrows	1
arsenal	1
arsenic	1
art	3
artful	1
artichoke	1
artichokes	1
article	41
articles	40
articulate	1
artificial	1
artillery	4
arts	1
as	386
ascend	2
ascendancy	1
ascended	2
ascent	2
ash	1
asleep	3
asparagus	1
assailants	1
assemble	1
assembled	2
assembling	2
assembly	6
assembly’s	1
asserted	1
assessed	3
assigns	1
assist	5
assistance	5
assistant	2
assumed	2
astonishing	7
astonishment	2
astringent	2
astronomy	1
asunder	2
at	241
attached	1
attaches	1
attachment	1
attack	19
attacked	6
attacking	3
attain	1
attainable	1
attaining	1
attempt	8
attempted	4
attempting	1
attempts	4
attend	1
attendants	1
attended	7
attending	2
attention	9
attorney-general	2
attornies	1
attracted	1
attributed	3
atwood	2
audacity	3
august	3
authenticity	1
author	5
authority	2
available	1
availed	1
average	2
averse	1
aversion	3
avoid	1
awakened	1
away	19
awe	2
awful	1
back	4
backward	1
backwards	1
bad	9
badly	2
baggage	3
bags	4
baker	2
ball	1
balla	3
balla’s	1
balls	5
balm	1
bananas	3
band	1
banditti	1
banished	1
banks	2
baptismal	2
baptized	1
bar	2
baracutas	1
barbadoes	1
barbarity	1
barbarous	2
bare	2
barely	1
bark	2
barracks	2
barrel	5
barrels	4
barren	2
basket	1
baskets	5
bastard-mahogany	1
bathing	2
bats	1
batter	1
batteries	9
battery	5
bay	24
bayonets	3
bays	3
be	260
beach	1
beans	2
bear	14
bearer	1
bearing	2
bears	8
beast	2
beasts	2
beat	1
beating	4
beaup	2
beauties	1
beautiful	6
beautifully	3
beauty	1
became	6
because	3
become	2
