	0
a	4698
abandon	11
abandoned	20
abandoning	5
abandonment	1
abandons	4
abasement	1
abated	1
abatement	1
abbe	16
abbess	31
abbey	3
abducted	14
abduction	11
abductor	1
abed	2
abhorred	1
abhors	1
abiding	1
abjure	1
able	58
able--to	1
ablest	1
ably	1
aboard	2
abode	7
abodes	1
abominable	1
about	301
about--stop	1
above	35
abreast	1
abridged	2
abroad	2
abroad--in	1
absence	25
absences	1
absent	5
absented	1
absolute	1
absolutely	15
absolution	3
absorbed	4
absorbs	1
abstinence	1
abstinence--while	1
abstracted	1
abundance	2
abundant	3
abundantly	1
abuse	7
abused	4
abusing	1
abyss	5
abysses	2
academie	2
academy	2
accelerate	1
accent	21
accept	24
accepted	7
accepting	3
access	2
accessory	2
accident	13
accidental	1
accidents	5
acclamations	2
accommodated	1
accompanied	34
accompanies	1
accompany	16
accompanying	2
accomplice	14
accomplices	1
accomplish	9
accomplished	9
accomplishing	2
accomplishment	2
accord	4
accorded	1
according	35
accordingly	4
accosted	4
account	60
accountable	1
accounts	5
accuracy	2
accurate	1
accursed	4
accusation	7
accusations	4
accuse	14
accused	15
accuser	2
accuses	2
accusing	4
accustom	2
accustomed	27
accustomed--the	1
aces	1
achieved	1
achilles	2
acknowledge	7
acknowledged	6
acknowledges	1
acknowledging	2
acolyte	1
acquaintance	13
acquaintance--in	1
acquaintances	2
acquainted	33
acquiesced	2
acquired	10
acquit	1
acquitted	2
across	10
act	24
acted	12
acting	8
action	11
actions	7
active	7
actively	1
activity	4
actor	1
actors	3
actress	1
acts	2
actuated	1
acuteness	1
add	16
added	53
adder	1
adding	4
addition	19
additional	2
additionally	2
address	21
addressed	20
addressing	21
adieu	21
adieux	2
adjoining	5
adjure	1
adjust	1
adjusted	1
admirabile	1
admirable	10
admirably	6
admiralty	1
admiral’s	2
admiration	7
admire	3
admired	5
admirer	1
admiring	5
admission	4
admit	12
admitted	11
admitting	1
admonitions	1
ado	1
adolescence	1
adopt	5
adopted	7
adorable	1
adore	3
adored	6
adores	3
adorn	2
adorned	1
adornment	1
advance	21
advanced	41
advancement	1
advances	5
advancing	6
advantage	30
advantageous	6
advantageously	1
advantages	3
adventure	22
adventurer	1
adventurers	2
adventures	6
adventurous	3
adversaries	6
adversary	25
adversity	1
advice	23
advise	9
advised	5
advising	1
afar	2
affable	2
affair	77
affair--a	1
affairs	25
affect	3
affectation	3
affectations	1
affected	7
affectedly	1
affecting	3
affectingly	1
affection	10
affectionate	5
affectionately	1
affects	2
affianced	2
affirm	4
affirmation	1
affirmative	4
affirmed	2
affixed	1
affliction	1
affluence	1
afford	8
afforded	3
affright	1
affrighted	1
affront	1
afoot	1
aforesaid	1
afraid	30
afresh	3
after	255
afternoon	2
afternoon--two	1
afterthought	1
afterward	39
afterwards	2
again	180
again--and	1
again--that	1
against	159
age	25
agent	3
agent--is	1
agents	3
ages	2
aggravated	1
aggressors	2
agile	1
agility	3
agitate	2
agitated	10
agitating	1
agitation	3
ago	20
agony	12
agree	6
agreeable	21
agreeably	1
agreed	29
agreeing	1
agreement	5
ah	223
ahead	2
ahem	1
aid	11
aiguillettes	2
ailment	1
aim	6
aimed	7
aiming	1
aimless	1
air	74
airs	5
ajar	2
ajax	1
alabaster	1
alacrity	1
alarm	3
alarmed	6
alarmest	1
alas	33
alcove	2
aldermen	6
alert	2
alexandre	1
alibi	2
alighted	9
alighting	1
alike	3
alive	5
all	981
all--in	1
all--is	1
all--that	1
all--the	2
all--to	1
all--were	1
all--your	1
all-powerful	2
all?--speak	1
alleging	1
alleviate	1
alley	3
alliance	1
alliances	1
allied	3
allies	1
allow	52
allowed	32
allowing	7
allows	1
allurement	1
allusion	3
ally	1
almond	1
almonds	1
almoner	1
almost	84
almost-new	1
alms	2
alone	133
alone--she	1
along	38
alongside	1
aloud	23
aloud--prayers	1
already	101
already-wounded	1
also	52
also--i	1
altar	3
alter	1
alteration	3
altered	3
alternately	1
although	70
altisimm	1
altogether	4
always	99
am	442
amazed	2
amazement	1
ambassador	5
ambassadors	1
ambiguous	2
ambition	8
ambition--apart	1
ambitious	6
ambuscade	7
ambuscades	1
ambush	1
ambushes	2
ame	1
amen	3
amends	1
amenity	1
america	2
amiable	9
amid	25
amiens	18
amiss	1
among	44
amorous	10
amount	5
amounts	2
amours	5
ample	3
amsterdam	1
amuse	6
amused	8
amusement	5
amusements	1
amuses	1
amusing	3
an	721
analysis	1
analyzed	1
ancestor	1
ancestors	2
anchor	6
ancient	6
ancients	1
and	5835
and--let	2
and--on	1
andalusian	2
anew	4
angel	16
angelic	3
angels	1
anger	32
angers	2
angle	12
angles	1
angoutin	2
angrier	1
angry	12
anguish	3
animadvertuntur	1
animal	5
animals	4
animated	8
animation	2
animosity	2
anjou	8
anmon	1
anne	48
annex	1
annihilated	2
anniversary	1
announce	9
announced	24
announcement	3
announces	1
announcing	3
annoy	5
annoyance	3
annoyances	1
annoyed	5
annoying	5
annoys	2
anointed	1
another	144
another--confide	1
another’s	2
anquetil	1
answer	60
answered	38
answering	3
answers	1
ant	1
antagonist	3
antagonists	1
antecedents	1
antechamber	32
antechambers	1
anterior	1
anticardinalist	1
antichrist	2
anticipate	2
anticipated	1
anticipating	1
anticipation	1
antidote	1
antipathy	1
antique	1
antoine	3
anxiety	17
anxious	34
anxiously	6
any	190
anybody	19
anyone	36
anyone--host	1
anything	76
apart	2
apartment	68
apartments	3
aperture	1
apiece	3
apocalypse	1
apologies	3
apology	1
apostasy	1
apostrophized	1
apothecary	1
apparel	1
apparent	6
apparently	5
apparition	7
apparition--for	1
apparitions	2
appeal	5
appear	45
appear--thanks	1
appearance	37
appearance--an	1
appearances	3
appeared	165
appearing	9
appears	63
appease	2
appeased	3
appetite	1
appetites	1
appetizing	1
applauded	2
applause	2
application	2
applied	7
applies	1
apply	5
applying	1
appoint	3
appointed	17
appointing	2
appointment	10
appointments	4
appreciate	4
appreciated	4
appreciation	1
apprehended	2
apprentice	4
apprenticeship	2
apprised	1
approach	11
approached	36
approaching	15
approbation	1
appropriate	1
appropriated	1
approve	2
approved	1
approves	1
approving	3
april	2
aptitude	1
arabesques	1
arabian	1
aramis	510
aramis’s	9
arc	1
arcade	1
arch	1
archangels	1
arched	2
archers	3
arches	2
archimedes	2
archipelago	1
archives	2
ardent	10
ardently	2
ardor	2
are	813
are--have	1
argue	1
argued	1
arguing	1
argument	2
arguments	1
argumentum	1
aright	1
arise	2
arisen	1
arising	1
aristocracy	1
aristocratic	4
arm	54
arm--upon	1
armaments	2
armand	2
armchair	21
armed	19
armed--if	1
armenia	1
armentieres	13
armentieres--each	1
armida	1
armies	2
armor	1
arms	72
arms--a	1
arms--those	1
arms--with	1
army	19
arose	26
arose--on	1
around	35
aroused	1
arquebus	3
arrange	3
arranged	8
arrangement	1
arrangements	3
arranging	2
arras	4
arrears	1
arrest	21
arrested	38
