	0
a	1127
a.b	1
a.c	1
a.g	1
a.j	1
aaron	1
ab	1
abandon	3
abandoned	3
abandonment	2
abate	1
abbia	1
abetting	1
abhorrence	1
ability	1
able	3
ably	1
abnegation	1
abolish	2
abolished	2
abolition	2
abominable	1
abortive	1
about	23
above	13
above-mentioned	3
abroad	1
abrogated	2
abrogates	2
absence	8
absolute	20
absolutely	13
abstain	9
abstained	2
abstention	2
abstract	2
abundant	2
abundanti	1
abundantly	1
abuse	2
abused	1
abuses	2
abusive	1
academy	8
accede	2
acceded	4
accedes	1
accept	4
acceptable	1
acceptance	14
accepted	31
accepting	1
access	7
accessible	4
accession	2
accessions	1
accident	1
accompagnés	1
accompanied	5
accompanies	3
accompaniment	1
accompanying	2
accomplished	1
accord[167]ance	1
accordance	50
accorded	3
according	14
accordingly	16
accords	1
account	10
accredited	1
accretions	1
accuracy	1
accurate	4
accurately	1
accused	2
accustomed	1
achieved	1
achievement	1
acknowledge	2
acknowledged	3
acquaintance	1
acquainted	3
acquiesce	5
acquiescence	4
acquired	2
acquires	1
acquisition	1
acquius	1
acre	1
across	1
act	45
acta	3
actaeon	2
acte	5
acted	1
actes	3
acting	7
action	35
actions	1
action—a	1
actis	1
active	2
activity	2
acts	56
actual	5
actually	8
actuellement	1
actæon	1
ad	5
adapt	1
adapted	4
adapting	1
add	16
added	4
adding	3
addition	5
additionally	1
additionnels	1
additions	4
address	6
addressed	27
addressing	1
adequate	1
adequately	1
adhere	4
adheres	1
adhesion	3
adjournment	1
adjudication	3
adjustment	1
administer	5
administered	2
administration	1
administratives	1
administrator	1
admiral	16
admirals	4
admiralty	14
admirers	1
admit	5
admits	2
admitted	5
admittedly	6
admitting	1
adml	1
adopt	5
adopted	27
adopting	3
adoption	10
adopts	1
adrianople	1
advance	2
advanced	1
advantage	1
advantages	3
adversary	1
adverse	1
adversely	1
advice	4
advisability	1
advisable	1
advise	2
advised	1
adviser	2
advo[013]cates	1
advocacy	1
advocate	1
advocated	2
advocates	5
advocating	1
aequum	1
aer	1
aerial	18
aeronautics	2
aeroplane	1
aeroplanes	2
aerostation	1
affair	1
affairs	2
affect	4
affected	4
affecting	7
affects	1
affirm	1
affirmative	1
affirmed	3
affirming	1
affirms	1
afford	1
afforded	3
affording	1
aforesaid	1
africa	6
african	2
after	52
afterwards	4
again	23
against	83
agents	3
agglomerations	1
aggravate	2
aggravated	1
aggrieved	1
ago	19
agree	14
agreeable	1
agreed	10
agreeing	1
agreement	24
agreements	8
agricultural	1
aid	4
aiding	1
aids	1
aimed	2
aiming	1
ainsi	1
air	12
air-spaces	1
aircraft	2
airships	1
airspace	1
ajax	1
alabama	3
alberici	1
albericus	2
alexander	1
alexander's	1
algiers	1
alia	2
alien	3
alike	4
alios	4
alison	1
alive	5
all	117
all-important	1
allanton	10
alle	1
allegation	1
alleged	17
allegiance	2
alleviating	1
alleviation	1
allied	3
allies	11
allow	19
allowable	2
allowed	29
allowing	5
allows	2
alluded	1
alluding	3
allusion	3
allusions	2
ally	1
almost	8
alone	10
along	3
already	24
also	111
alter	2
alterations	2
altered	2
alternatives	1
although	35
altogether	4
altra	1
always	12
am	129
amateurs	1
amazement	2
ambassadors	1
ambiguities	1
ambiguous	5
ambitious	1
amend	1
amended	6
amending	3
amendment	4
amendments	5
america	3
american	15
amical	1
ammunition	4
among	22
amongst	2
amount	10
amounted	1
amounting	3
amounts	1
ample	3
amply	1
an	248
analogous	1
analogy	4
anchored	1
ancient	2
ancipitis	5
and	1157
andrews	1
angarie	1
anglo-american	3
anglo-french	1
anglo-portuguese-american	1
anglo-saxon	2
animal	1
animals	2
animation	1
anne	1
annexe	1
annexed	14
announce	4
announced	7
announcement	4
announces	1
announcing	3
annoyance	1
annoyed	1
annuaire	11
annual	2
annuls	1
another	10
answer	15
answered	5
answering	2
answers	4
antecedent	1
antecedently	1
anti-british	1
anticipate	1
anticipated	1
antiquity	1
anxiety	1
anxious	1
any	190
anyone	1
anything	16
anywhere	2
apart	6
apocryphal	2
apology	1
app	1
appam	5
apparatus	2
appareiller	1
apparent	5
apparently	10
appartenant	1
appartient	1
appeal	25
appealing	2
appeals	3
appear	11
appearance	4
appeared	15
appears	14
appended	4
appendix	2
appetites	1
appliances	1
applicability	1
applicable	21
application	29
applications	3
applied	15
applies	2
apply	16
applying	4
appointed	9
apportant	1
apposite	1
appreciate	1
appreciated	1
appreciation	1
apprehension	1
approach	3
approached	1
approaching	1
approbation	1
appropriate	5
approval	11
approved	3
approves	1
april	32
aqua	1
arabia	2
arbitral	1
arbitration	14
arbitrators	1
ardrossan	1
are	299
argentine	1
argue	2
argued	2
argument	10
argumentative	2
arguments	7
arise	7
arisen	4
arises	4
arising	6
armaments	2
armed	13
armes	1
armies	11
arms	22
army	25
armées	2
arnold	3
arnold-forster	2
arose	1
aroused	2
arranged	4
arrangement	1
arrangements	1
arrest	2
arrested	4
arresting	1
arrival	1
arrive	2
arrived	13
arriving	3
arrière	1
arrêtés	1
art	120
arthur	6
article	56
articles	60
artificial	2
artillery	1
artistic	1
arts	24
as	875
ascertain	5
ascertained	6
ascertaining	3
aside	3
ask	6
asked	1
asking	3
asks	3
aspects	2
asphyxiating	2
aspirations	3
assassination	4
assembled	2
assembling	1
assent	1
asser	1
assert	4
asserted	2
asserting	3
assertion	6
assertions	1
asserts	5
assessment	1
assets	2
assigned	1
assimilate	1
assist	1
assistance	5
assistant	1
associated	1
association	4
assume	3
assumed	2
assumes	2
assuming	1
assumption	3
assure	9
assured	1
assuredly	1
assuring	1
astonishing	2
asturias	2
asylum	4
at	292
atalanta	2
athenæum	8
atlas	1
atrocious	1
atrocities	5
atrocity	1
attach	3
attached	2
attaches	1
attaching	1
attachées	1
attack	21
attacked	5
attacking	1
attacks	3
attainable	1
attained	2
attainment	2
attempt	15
attempted	6
attempting	4
attempts	5
attendant	2
attended	1
attending	1
attention	35
attentive	1
attitude	4
atto	1
attorney-general	2
attorney-general's	1
attract	1
attracting	1
attribuer	1
attributable	1
attribute	1
attributed	10
attributing	2
au	13
aube	2
auctoritate	1
aucun	2
aucune	1
augmenter	1
august	26
auquel	2
aura	1
aurelio	1
ausser	1
aussitôt	1
austria	1
austrians—are	1
authentic	8
authentically	1
authentique	1
authentische	1
author	2
author's	4
authorised	2
authorising	1
authoritative	9
authoritatively	2
authorities	12
authority	46
automatic-contact	3
automatically	1
autorisés	1
autorités	1
autres	2
autumn	2
aux	9
auxiliary	3
available	6
avait	1
avec	2
avenue	4
aviation	1
avoided	7
avoir	2
avowedly	2
awaited	2
awaits	2
aware	9
away	1
awkward	1
ayant	1
aérienne	2
aéronefs	2
aérostats	1
b	6
b.f	2
back	4
backing	1
bad	4
baden-powell	5
baden-powell's	1
badly	1
bags	2
baie	2
baies	1
bailiff	1
baker	2
balance	1
balestrini	1
balfour	5
ballantyne	1
balloons	6
baltic	1
bambaata	1
bands	1
bank	1
bankrupt	1
banks	1
bar	1
barbarism	2
barbarities	1
barbarity	1
barbarous	3
baron	4
barracks	2
barrer	1
barring	1
base	12
based	2
bases	4
basse	1
batteries	1
battle	6
baty	3
baudin	1
bay	1
bayonets	1
bays	3
be	900
bear	8
bearer	1
bearing	20
bears	1
beaucoup	1
beautiful	1
became	6
because	10
become	30
becomes	2
becoming	4
been	240
beer	2
before	39
beforehand	3
begin	1
beginning	3
begins	2
beguiled	1
behalf	11
behaviour	1
behind	1
being	79
belgian	2
belgium	4
belief	6
believe	3
believing	1
belli	4
belligerency	4
belligerent	104
belligerents	40
belligérant	3
belligérantes	1
belligérants	4
bellum	1
belong	6
belonged	1
belonging	11
belongs	5
below	1
benault's	1
beneficent	1
beneficially	1
benefit	10
beresford	2
berlin	9
bermuda	1
bernard	1
berne	1
beset	2
beside	1
besides	6
besieged	3
besoin	1
best	7
bestowed	1
bestowing	1
better	14
between	98
beyond	10
bibliographical	2
bibliothèque	1
biens	1
bigham	1
bill	66
bills	8
bind	1
binding	10
binds	2
biographical	2
birkenhead	2
bismarck	2
bkry	1
black	7
blackburn's	1
blamed	1
blesses	1
blessés	2
bliss	2
bloc	1
blockade	70
blockade-runner	3
blockade-running	1
blockaded	3
blockades	4
blockading	1
blocus	6
bloquée	1
blossom	1
blowing	1
blue-books	1
bluntschli	3
bluntschli's	5
bnf/gallica	1
board	18
boarding	1
boats	1
bodies	5
body	20
boer	5
boers	1
boldly	1
bombard	2
bombarded	3
bombardment	31
bombardments	10
bombay	1
bon	1
bona	1
bondholders	3
bonds	1
bonne	1
bons	2
book	3
bookworms	1
booty	1
borne	3
borrow	1
borrowed	1
bosporus	3
