	0
a	1937
a.d	6
ab	2
abandoned	4
abandons	3
abashed	2
abate	7
abated	1
abbey	11
abbey-walls	1
abbey.—w	1
abbeys	2
abbot	3
abbot's	1
abbots	1
abbotsford	8
abdicate	1
abelard	1
aberdeen	1
aberystwyth	1
abhorred	2
abide	8
abiding-place	1
abject	3
abjure	3
abjured	1
able	5
abode	19
abodes	4
abode—keep	1
aboriginal	1
aborigines.—ed	1
abound	3
abounded	1
abounds	1
about	39
above	61
abraham	1
abridged	1
abroad	4
abrupt	2
abruptly	4
abruptness	1
abruptum	1
abrupt—as	1
absence	2
absolute	4
absolutely	1
absolve	1
absolved	2
absorbed	1
abstain	1
abundant	1
abuse	6
abused	5
abuses	5
ac	1
accents	2
accept	1
accepts	2
accession	4
accessory	1
accident	1
accidentally	1
accidents	1
acclamations	1
accommodated	1
accommodations	1
accompanied	9
accompanying	1
accomplished	2
accomplishments	2
accord	4
accordance	1
accordant	4
accorded	1
according	6
accordingly	5
accosted	1
account	16
account:—"germanus	1
accuracy	1
accurate	1
accurately	2
accurrebant	1
accurst	1
accused	3
accustomed	3
acheron	1
achieved	4
acknowledged	6
acknowledgement	1
acknowledges	1
acknowledgment	3
acknowledgments	1
acquaintance	1
acquainted	7
acquired	1
acquisitions	1
acquittal	4
across	10
act	19
acted	1
acting	2
action	3
actions	4
activity	1
acts	4
actually	2
adam	1
adamant	1
adare	1
add	7
added	14
added:—"this	1
addenda	2
adding	1
addison's	1
addition	2
additional	1
additions	1
address	7
addressed	17
addrest	3
adds	2
adduces	1
aders	1
adherents	1
adheres	1
adieu	5
admirable	2
admiration	7
admirations	1
admire	2
admired	3
admiring	2
admit	1
admittance	1
admitted	1
admonishment	1
admonitions	2
adopt	1
adopted	4
adopted.—w	1
adoration	3
adoration;—while—above	1
adore	5
adored	1
adores	1
adorn	4
adorned	1
adorning	1
adorns	1
adunco	1
advance	8
advance!—w	1
advanced	3
advancement	1
advancing	3
advantage	1
advantageously	1
adveniret	1
advent	1
adventure	1
adventurer's	1
adverse	1
adversity	2
adverting	1
adverts	1
advowson	1
aenid	1
aery	5
aery's	1
afar	6
affairs	1
affect	1
affected	3
affecting	3
affection	2
affectionate	1
affectionately	1
affections	13
affections."—ed	9
affects	1
affirmed	2
affirms	1
affixed	1
afflicted	3
afflictions	5
afford	7
affords	2
afloat	1
aforesaid	1
afraid	3
africa.—ed	1
after	58
after-lay	1
after-tone	1
after.[866]—i	1
afternoon	3
afterwards	14
again	24
again!—'tis	1
against	30
agate	1
age	43
aged	6
agency	1
ages	14
ages."—ed	1
ages."—w	1
ages—how	1
age—so	1
aggravates	1
aggressive	1
aghast	2
agincourt.—ed	1
agit	1
agitate	1
agitated	1
agitation	1
agitations	2
ago	5
agonies	1
agony	2
agravaine	1
agree	5
agreeable	1
agreeably	2
agrees	2
agriculture	1
ah	9
aid	11
aiding	1
ailsa	5
aim	16
aims	10
ainger	1
air	60
air's	1
air-proof	1
aira	3
aira-force	1
aire	1
airey-force	1
airola	1
airs	4
airy	8
air—or	1
aisle	1
aisles	2
akin	1
alaric	4
alarmed	1
alarms	2
alas	18
alban	3
alban's	1
albans	2
albeit	5
albergo	1
albertus	1
album	5
alcove	3
alder	1
alexander	3
alexander's	1
alfred	15
algernon	1
alien	1
aliens	1
alight	2
alighted	2
alike	6
alike.—ed	1
aliquis	1
alive	7
all	256
all-conquering	1
all-enraptured	1
all-involving	1
all-sustaining	1
allah	1
allan	3
allay	6
allegiance	3
allegoric	1
alliance	1
alliances	1
allied	6
allies	1
allocate	1
allots	2
allotted	3
allow	5
allowed	8
allude	1
alluded	8
alludes	3
alluding	4
allure	1
alluring	1
allusion	3
ally	1
almighty	6
almost	12
alms	5
almsgiving	1
aloft	6
alone	27
alone.—ed	1
along	32
aloof	2
aloud	3
alpine	3
alps	1
already	7
also	45
altar	16
altars	9
alten	1
alterations	2
