	0
a	843
a's	1
a-b	3
a.--the	1
a.m	1
a=a	2
a=b	1
a=d	1
a=e	2
a=h	1
a=m	1
a=o	1
a=p	1
a=q	1
a=s	1
a=t	1
a=u	1
aa	10
aaagg	1
aangr	1
aanra	1
aaprd	1
ab	6
abb	1
abbcd	1
abcdefghijklm	5
abcdefghijklmnopqrstuvwxyz	16
abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz	3
abcdefghijlmnopqrstuvxyz	2
abcdefghijlmnopqrstuvxyzabcdefghijlmnopqrstuvxyz	4
abcdefghiklmnopqrstuvwyz	1
abide	1
ability	1
able	1
abnbninrryn	1
about	13
above	17
abris	1
absolutely	1
ac	1
acantonada	1
accented	1
accents	2
accept	1
accepted	2
accepting	1
access	10
accessed	1
accessible	1
accompany	1
accompanying	1
accordance	2
according	6
account	6
accounted	1
accuracy	1
acerco	1
across	1
action	1
active	6
actual	2
actually	2
ad	1
adapted	3
add	8
addaairl	1
added	1
addition	3
additional	6
additions	1
address	4
addressee	5
addresses	1
adjunct	1
adopt	1
advanced	2
advantages	2
advisable	2
ae	2
aecob	1
aeioh	1
aeiou	9
aenel	1
aenoi	1
aeo	1
aeojw	1
aeqeb	1
aeroplane	1
aes	1
af	1
afifl	1
after	11
ag	5
again	9
against	4
agent	1
agents	5
aghnoapibq	1
ago	1
agree	11
agreed	2
agreement	18
agrees	1
agztiq	1
ah	1
ahpze	1
ai	1
aii	5
aiiwg	2
ajhcd	2
ak	2
al	2
alaeviriaf	1
alaska	1
all	78
alli	1
allow	1
almost	8
alone	3
along	5
alphabet	113
alphabet.--probable	3
alphabetic	2
alphabetical	1
alphabets	62
alphabets.--probable	1
already	16
also	27
alteration	1
alternate	5
alternately	1
alternative	1
altho	2
although	8
alturas	1
always	12
am	3
amateur	1
amateur's	1
american	9
ammunition	2
ammunitionand	1
among	5
amoou	1
amount	1
an	79
an=s	1
analysis	20
analyze	2
and	703
andes	1
andvil(la	1
angles	1
another	13
anrsa	1
ansa	1
answer	1
antenna	2
any	77
anyone	5
anything	2
anywhere	2
ao	1
aoeyyyy	1
ap	1
apchs	1
apparatus	10
apparent	6
apparently	1
appealed	1
appear	12
appearance	3
appeared	5
appearing	3
appears	1
applicable	5
applied	3
apply	4
appreciated	2
approach	1
approaching	3
appropriate	1
approximate	2
approximately	1
approximation	3
aqhshrgfnu	1
ar	6
ara	1
arabic	1
arae_re	1
aranjuez	1
arbitrary	9
archive	13
archive/american	2
are	226
area	1
arise	1
arizona	1
armies	1
arms	1
armsa	1
army	11
arndn	1
arnrt	1
arntg	1
arrange	4
arranged	4
arrangement	12
arrangements	1
arranging	2
array	1
arri_e	1
arrived	1
arriving	1
articles	1
artillery	1
arti|ller|ycom|mand|erwi|llor|dera|llgu|nswi|thdr|awn	1
as	178
as-is	1
ascbh	1
ascii	2
asdan	1
asmos	1
assembled	1
assi_ned	1
assign	3
assist	1
assistance	1
assisted	1
assists	2
associated	8
assume	6
assumed	5
assuming	3
assumption	6
assumptions	1
assured	1
at	101
ataque	1
atchison	1
attached	1
attack	1
attain	1
attempt	3
attention	1
attraction	1
au	1
author	1
authorities	2
authors	1
automatic	1
available	14
average	7
aviation	1
aviators	2
avoided	1
avr	1
awaiting	1
away	3
away--you	1
awnjy	1
ax	2
ay	3
aybis	1
azc	1
azucaica	2
azyxwvutsrqponmlkjihgfedcb	1
b	243
b's	2
b=p	1
ba	5
back	3
backward	4
bad	3
bafoh	1
baheo	1
barge	1
based	7
basis	11
baxqr	1
bazeries	1
bazyxwvutsrqponmlkjihgfedc	1
bb	1
bc	1
bcdefghijklmnopqrstuvwxyza	2
bcpcb	1
bcytbsobs	1
bd	2
bdfhjlnprtvx	1
bdgav	1
bdiiae	1
be	326
bearing	1
bears	4
beatrix	1
beaufort	1
became	3
because	20
becomes	15
becoming	3
been	43
bef	4
befch	1
before	17
begin	1
beginning	9
begins	1
being	12
belge	1
belief	2
believe	3
believed	6
belong	2
belongs	3
below	11
besides	1
best	6
betnd	1
betndqxuc	1
better	2
betwe(x)en	3
between	14
beyond	3
bf	1
bfbbpoqopr	1
bff	1
bg	1
bgkacbq	1
bgvgjc	1
bh	2
bhamoouea	2
bhll	1
bhpx	1
bi	2
bihtl	1
bill	1
binary	1
bit	1
bixb	1
bixoz	1
bjlsi	1
bjv	2
bk	4
bkahq	1
bkai	2
bkjh	1
bknwr	1
bksm	2
bkutt	1
black	1
blank	5
blanks	1
blein	1
blend	1
blibbiqyb	1
block	3
blocks	4
bm	1
bmbfxjsjbg	1
bo	6
board	1
body	5
boevy	1
boiy	1
book	6
borde	1
border	2
born	1
both	9
bottom	4
bound	3
boz	1
bp	2
bpbrp	1
br	2
breach	2
breaking	2
breaks	1
bridge	1
brief	3
brigade	1
bring	1
british	1
britishgov	1
broa	1
broken	1
brought	1
bs	2
bscsb	2
bsppk	2
bsr	1
bsvxy	1
bt	1
bu	1
business	1
but	79
buzzer	3
bvj	2
bx	6
bxhys	1
by	177
c	244
c.--it	1
c.o	1
ca	1
caballeria	2
cabcq	1
cabinet	1
cable	3
cablegram	1
calais	1
calculate	1
calculated	2
calling	1
camp	2
can	56
cannot	7
capital	1
capitals	2
captain	2
captors	1
capture	3
captured	7
capturing	1
card	7
care	2
careful	2
carried	2
carry	1
casa	1
casas	1
case	127
cases	13
casts	1
casual	3
cause	5
caused	1
cavalry	1
cb	1
cbazyxwvutsrqponmlkjihgfed	1
cbe	1
cbi	1
cblfkfbkd	1
ccs	1
ccsdgz	1
ccuyf	1
ccwhm	1
cd	2
cdefghijklmnopqrstuvwxyzab	2
cdoie	1
cdtxq	1
cease	2
ceased	1
cebsv	1
cegikmoqsuwy	1
center	2
central	1
centuries	1
century	1
cere	1
certain	17
certainly	7
cewil	1
cfi	1
cften	1
ch	3
chance	3
chances	1
change	3
changeable	2
changed	5
changes	2
changing	2
chapter	10
character	3
characters	10
charge	6
charges	1
charitable	1
charities	1
chbef	3
chdoeiebdg	1
che	1
check	12
checked	1
checks	4
chers	1
chief	2
chieftains	2
chihuahua	1
chinese	1
choice	2
choose	2
chosen	9
chu	1
ci	4
ciclista	1
cipher	319
ciphers	86
circle	2
circumstances	2
city	1
civil	1
ckbpt	1
ckpih	1
claim	1
clase	1
class	16
classes	3
clean	1
clear	4
clearly	14
clerical	1
clerk	9
clerk's	1
clerks	1
cll	1
clockwise	2
close	1
clue	1
clues	2
cm	1
cmubr	1
cn	1
cncgyltlch	1
co	3
code	21
codes	4
coincide	1
coincidence	2
coincides	1
coljl	1
collection	4
collon	1
color	1
colored	1
colum	1
column	32
columns	35
com(x)manders	1
com(x)munication	1
combination	21
combinations	16
combined	2
come	8
comes	3
coming	1
comma	1
command	1
commandant	1
commander	3
commas	1
commercial	5
committed	1
common	28
commonest	1
communicated	2
communicating	1
communication	6
communications	2
compania	2
company	1
compare	1
compared	2
comparing	1
competent	1
compilation	1
complete	7
completed	8
completely	2
completes	1
completing	1
complexity	2
compliance	5
complicated	11
complication	2
comply	6
complying	3
composed	1
compressed	1
computer	2
computers	2
con	2
conceal	1
concealing	1
concentration	1
concept	2
concerning	3
conclude	3
conclusion	2
conclusions	1
conclusive	1
conditions	1
confirm	1
confirmation	1
confirmed	1
conform	2
confusing	1
confusion	2
connect	3
connected	4
connection	2
consecutive	4
consensus	1
consequential	1
conservation	1
consider	9
considerable	4
consideration	3
considerations	1
considered	6
considering	2
consist	3
consists	3
consonant	1
consonants	25
conspicuous	1
constant	3
constantly	3
constitute	1
constitutes	1
constituting	2
constructed	4
consulted	1
contact	4
contain	8
contained	1
containing	10
contains	10
contents	1
context	4
continental	9
continue	3
continues	1
continuing	3
contra	1
contract	1
contracts	1
contributions	2
convenience	3
convenient	4
convention	1
conventional	8
convert	1
copied	7
copies	12
copy	15
copying	11
copyright	13
corner	2
corners	1
corporation	1
corps	1
correct	11
corrected	2
correction	2
corrections	1
correctly	3
correspond	4
correspondence	5
correspondent	1
correspondents	4
corresponding	13
corrupt	1
cost	3
costs	2
could	5
count	19
counted	3
counter	1
counting	2
countries	3
country	4
course	7
cover	2
covering	1
coördinate	1
cpdlz	1
cr	1
created	2
creating	4
creation	1
credit	1
creep	2
crews	1
critical	1
crjxs	1
crop	1
cry	1
cryptogram	1
cryptographie	2
csm	2
csultwni	1
csx	1
csx--csx	1
ct	5
ctw	5
ctwy	2
cu	1
cuando	1
cufpv	1
current	1
customary	3
cut	1
cw	2
cx	1
cxez	1
cycle	1
cycles	1
cyclist	1
cyify	1
cyr	1
cyy	2
d	272
d=o	1
da	3
dac	4
dac=you	1
dacft	1
dacften	1
dacftrr	2
daees	1
daffs	1
daily	1
damage	2
damaged	1
damages	4
dangerous	1
daqcn	1
data	11
date	14
dawn	1
day	5
daylight	3
days	7
db	3
dbbc	1
dbypbxh	1
dc	1
dcf	1
dckjbedfl	1
dd	2
ddhge	1
ddll	1
ddlrm	1
ddx	1
de	19
deal	4
dealing	6
decide	5
decided	2
decides	1
deciding	1
decipher	6
deciphered	15
decipherer	1
deciphering	18
deciphers	2
deductible	1
defeat	1
defect	3
defective	3
defects	1
deficiency	2
defies	1
definitely	1
definition	1
del	1
delay	3
delaying	1
deletions	1
delivery	3
demand	2
demanded	1
demanding	1
demonstrate	1
deno	1
denoe	1
denouthomeah	1
dentro	1
department	4
departments	1
depend	2
dependability	1
depending	2
depends	3
deposit	2
derivative	3
derive	1
derived	2
derme	1
described	3
description	1
design	1
designated	1
desirable	5
despite	1
destroy	3
detach	1
detachment	1
details	2
determination	5
determinations	2
determine	8
determined	16
determining	3
detras	1
develop	1
developed	1
development	1
devised	1
dezof	1
df	1
dften	1
dg	2
dglsjsuegybbuy	1
dh	1
dhp	1
di	1
diagonal	4
diagonally	1
diavz	1
dictionary	2
died	1
differ	2
difference	1
differences	3
different	13
differing	1
difficult	10
difficulties	2
difficulty	10
diffne	1
digraphs	7
diis	1
dimensions	5
direct	1
direction	2
directions	1
directly	1
director	4
disadvantages	1
disaster	1
disclaim	1
disclaimer	3
disclaimers	1
disclose	1
discontinue	1
discover	3
discovered	2
discussed	8
discussion	1
disk	33
disks	1
disk|disk|disk|disk|disk|disk|disk|disk|disk|disk|dis	1
dispatches	1
display	1
displayed	1
displaying	4
disposicion	1
distance	1
distinct	2
distinction	1
distinctive	1
distribute	6
distributed	6
distributing	7
distribution	7
distributor	1
district	1
divide	3
divided	6
divides	1
dividing	1
division	1
dj	2
djcpj	1
dji	1
djpq	1
dju	1
djud	1
dk	1
dl	7
dlj	1
dlmmjxl	2
dm	1
dmf	1
dn	2
dna	1
dnwlw	1
dnwlwmxyqj	1
do	33
dodhzmumdi	1
does	6
domain	8
dominant	2
donate	3
donation	1
donations	15
done	10
donors	1
double	2
doubt	1
douglas	3
down	19
downloading	1
downward	2
dp	1
dprpbspz	1
dq	2
dqb	2
dr	4
draft	1
drodn	1
drzcs	1
drzc|sxot|fgey|rifh|zrwc|sxet|aebk|sxmq|qqwc|xbpt|dmp	1
ds	2
dswtltttpkfrhg	1
dt	2
dtobe	1
dtpdxt	1
du	5
duals	2
duasi	1
dud	1
dummy	1
duplication	1
during	5
dutdb	1
dv	1
dvb	1
dvnlq	1
dvpei	1
dw	1
dx	3
dy	1
dz	1
dzl	1
dzx	1
e	475
e's	2
e-mail	1
e=s	2
e=t	1
e_igna_o	1
ea	7
eaarh	1
each	79
eahbh	1
easily	10
east	1
easto	1
easy	4
eayoe	1
eayoeqisu	1
eb	1
ebb	1
ebksx	1
ebook	12
ebooks	7
ebrdo	2
ec	2
eccepdpm	1
ecfie	1
eciie	1
eco	1
ecvtd	1
ed	2
edg	1
edition	1
editions	4
edrbs	1
edt	1
educational	1
ee	1
eedch	1
eeee	1
eeeen	1
eeehob	1
eeey	1
eeeyybb	1
eehobg	1
een	1
ees	2
eez	1
ef	2
efaph	1
efc	2
efchb	1
effect	1
effort	2
efforts	3
efghf	1
efore	1
eftth	1
efvzv	1
egaha	1
egenl	1
egqgv	1
egqgvj	1
egtss	1
ehiortuwy	1
ehobgv	1
eht	1
ehvppr	1
ehydu	1
ei	3
eickmjidf	1
eidisxq	1
eight	3
eighth	2
ein	1
eioog	1
eis	1
either	11
eje	1
eke	1
el	22
elab	2
elaxcwby	1
elaxcweq	1
elbx	1
elbxbt	1
elbxfs	1
elbxfz	1
elcpowy	1
elect	1
electronic	27
electronically	2
elements	1
