	0
a	467
abide	1
able	7
about	39
about—that	1
above	4
absent-mindedness	1
absurd	2
abusing	1
accept	1
accepted	3
accepting	1
access	10
accessed	1
accessible	1
accompanied	1
accompany	1
accompanying	1
accord	2
accordance	2
according	2
account	1
ache	5
acquaintance	1
act	2
acting	1
action	1
active	2
actual	1
actually	1
add	1
added	2
addition	1
additional	4
additions	1
address	2
addressed	1
addresses	1
adieux	1
advance	4
advanced	3
advancing	1
adversary—covering	1
advice	2
advisable	1
affairs	6
affectionately	1
afford	1
afraid	17
afresh	1
after	26
afternoon	2
afterwards	4
again	60
against	27
again—and	2
age	2
agent	1
aggressive	1
agonised	1
ago—in	1
agree	9
agreed	3
agreement	18
ah	8
ahem!—is	1
ah—i	1
aided	1
aim	2
aimed	1
aiming	1
air	7
air—so	1
ak	1
alarmed	1
alas	1
alaska	1
alighted	3
alive	1
all	144
allegiance	1
aller	2
alley	1
allies	2
allow	5
allowed	7
ally	2
almost	15
alone	7
along	12
aloud	1
already	16
also	7
alteration	1
altered	1
alternate	1
although	18
altogether	5
altogether—and	1
alured	2
always	20
am	40
ambassador	1
ambassadors	10
ambulance	1
among	5
ample	1
an	53
and	996
and—owls	1
and—send	1
angrily	1
angry	9
animal	1
animals	1
announce	1
announced	1
annoyed	1
annoying	3
anon	1
another	8
answer	7
answered	35
answering	2
anxious	1
anxiously	1
any	70
anyhow	1
anyone	5
anything	15
anywhere	5
ape	1
apothecary	1
appear	1
appearance	3
appeared	8
appearing	1
appears	2
appetite	2
applause	1
applicable	3
applied	1
apply	1
approach	1
approached	1
approaching	1
arbour	4
archive	15
are	81
arecarp	6
aren’t	1
arise	1
aristocrats	1
arm	3
armed	1
armies	3
armour	12
arms	7
army	29
arnica	1
around	2
arrange	2
arranged	2
arrangement	2
array	1
arrest	1
arrival	2
arrive	2
arrived	3
arrows	2
artistic	1
as	285
as-is	1
ascii	2
ashamed	1
ask	18
asked	20
asking	1
asleep	4
assemble	3
assembly	2
assist	1
assistance	3
assisted	1
associated	8
astonished	8
astonishing	1
astonishment	8
astonishment—for	1
at	242
atoms	1
attached	2
attack	10
attacked	3
attack—for	1
attempt	2
attempting	1
attendant	1
attendants	1
attention	2
attitude	1
audience	5
author	1
autumn	2
available	4
avalanches	1
avenue	2
await	1
awaiting	1
awakened	1
aware	1
away	23
away--you	1
awful	2
awfully	3
awkward	2
awning	1
awoke	1
axe	2
b	3
back	43
backwards	1
bad	6
bad-tempered	1
badly	1
ball	5
band	1
banging	1
bank	1
banners	2
bargaining	1
bark	1
bars	1
based	2
basket-work	1
bath	1
bathed	1
battle	6
battle-axe	4
battlefield	3
battlements	1
bay	1
be	164
beak	2
beak—but	1
beams	1
bear	2
beard	1
beat	1
beaten	2
beating	1
beautiful	6
beautiful—as	1
became	6
because	16
beckoned	1
become	8
bed	24
bed-post	1
bedroom	1
bedrooms—they	1
beds	1
beech-leaves	1
beech-trees	1
been	45
bees	1
before	50
before—but	1
beg	6
began	31
beggar-my-neighbour”—that	1
begged	1
begging	1
begin	4
beginning	4
behind	28
being	7
believe	14
bell	7
bells	1
belong	1
belongs	1
beloved	2
below	12
below—a	1
beneath	1
bent	1
beseech	1
beside	2
besides	15
best	6
better	28
between	5
bewildered	1
beyond	1
bidding	1
big	3
bigger	2
bill	1
binary	1
birch	1
birds	1
birthday	2
bite	1
bits	1
bitterly—partly	1
black	5
blast	2
blaze	1
blazing	2
bleating	1
blew	3
blind	2
blinding	1
blind—why	1
blind’s	1
blinked	1
blinking	2
blood	2
blow	1
blowing	1
blows	1
blue	3
blunder	1
blurred	1
blushed	3
blushing	1
boar	1
bodies—the	1
body	4
body—however	1
bolted	1
book	1
born	1
borne	1
both	7
bother	1
bothering	1
bounced	1
bound	7
bounded	2
bow	2
bowed	8
bowing	3
bowmen	1
box	2
box—they’ve	1
branches	2
brave	1
bravest	1
brazen	1
breach	2
break	1
breakfast-time	1
breastplate	1
breath	1
breathe	1
breathing	1
breeze	4
bridle	1
bridle-rein	1
bright	4
brightened	1
brightly	6
bring	8
bringing	1
britain	1
british	1
broke	3
broken	3
brook	1
broom	2
brought	4
brown	15
browse	1
bucketful	1
bull	1
bullied	1
bull’s-eye	1
bulrush	1
bulrushes	1
burn	1
burning	2
burst	2
bushes	2
business	3
but	303
but—a—i	1
by	85
bye	4
c	4
cage	1
calculate	1
calculated	1
call	9
called	14
calling	5
calm	1
calmly	1
calmly,—he	1
came	85
camp	6
can	37
candidates	1
candlestick-makers	1
cane-bottomed	1
cannot	6
canopy	1
cantering	1
can—the	1
can’t	25
cap	1
capable	1
capital	1
captains	1
caracoled	1
card	1
cardboard	1
care	7
cared	1
careful	1
carefully	2
careless	1
cares	1
carpet	1
carriage	1
carried	6
carry	7
carved	1
case	2
cassell	1
castle	1
catch	5
catching	1
cathedral	1
cattle	1
caught	9
cause	3
caused	2
causes	1
cavalier	1
cease	1
ceiling	3
cellar	2
centre	3
certain	7
certainly	1
certainty	1
chains	2
chair	7
chairs	3
challenge	6
challenged	2
challenger	2
challengers	2
chamber	5
champed	1
chance	3
chanced	1
chancellor	21
change	5
changed	4
changing	1
charge	9
charged	4
charger	1
charges	1
charitable	1
charities	1
charm	1
charmer	1
chase	3
check	4
checked	1
checks	1
cheek	1
cheeks	1
cheer	1
cheered	4
cheerful	1
cheerfully	1
cheering	1
cheer—she	1
cheese	1
cherish	10
cherished	8
chief	3
children’s	2
child—thy	1
chimney	1
chimneys	1
chin	2
china	1
chirp	2
choice	1
choked	2
choose	3
chopped	1
chorus	1
chosen	1
church	1
circle	1
circlet	2
citizens	2
city	6
claim	4
clapping	1
clark	1
clasping	1
classes—those	1
clattered	1
claw	1
clean	1
clear	5
cleared	3
clearly	1
close	13
closed	2
closer	2
clothed	1
clothes	1
cloud	1
clouded	1
clouds	1
clumsy	1
clung	1
coals	1
coast	1
coat	3
coat-tails—and	1
cobbled	1
codes	1
coiled	1
cold	4
collapsed	1
collar	1
collected	1
collection	4
comb	1
combatants	3
combed	2
combing	1
come	61
comfortable	1
comfortably	1
comforted	1
coming	10
command	7
commanded	1
commander-in-chief	1
commanding	1
commands	1
commence	1
commercial	1
committed	2
companion	1
company	3
competent	1
compilation	1
complaints	1
complexion	1
compliance	5
comply	6
complying	3
composed	2
compressed	1
computer	2
computers	2
conceited	1
concept	2
concerning	2
condescend	1
conduct	2
confidence	1
confident	1
confined	1
confirmation	1
confirmed	1
confronted	1
confused	1
congratulated	2
conquer	1
conquered	2
consent	3
consented	1
consequential	1
considerable	2
considered	1
console	1
consoled	1
constant	1
consult	1
consulting	1
contact	4
contain	2
contained	1
containing	1
contemptuously	1
content	1
contented	1
contest	1
continual	1
continued	3
contract	1
contradiction	1
contrary	1
contributions	2
convenient	1
conversation	2
convert	1
copied	2
copies	7
copper-coloured	1
copy	12
copy-book	1
copying	4
copyright	19
corner	2
corporation	1
correct	2
corrupt	1
cost	3
costs	2
could	91
couldn’t	4
couldst	1
council	18
council-chamber	1
council-hall	1
council-house	1
councillors	3
count	1
countenance	1
countries	3
country	13
couple	1
courage	2
course	16
court	6
courtiers	1
courtyard	5
cousin	1
covered	4
cow	1
cows	1
cracked	1
crash	1
crashing	1
crave	1
created	2
creating	4
creation	1
creature	2
creatures	1
credit	1
crest	6
crest—through	1
cried	12
cries	2
crimes	2
cripple	1
critical	1
crossed	2
crowd	6
crowded	1
crown	2
crowned	1
crumbled	1
crumpled	1
crush	1
cry	5
crying	3
cup	1
cupboard	1
cured	1
curiosity	1
curiously	1
curled	1
current	1
curtains	1
custody	1
cut	14
d	1
dagger	1
daily	1
damage	2
damaged	1
damages	4
damask	1
danced	1
danger	4
dangled	1
dare	1
daresay	1
dark	8
darker	1
darkly	1
darkness	1
darted	1
dash	1
data	1
date	3
daughter	7
daughter’s	1
dawn	1
dawning	1
day	26
days	15
day—for	1
dead	3
deal	4
dear	20
death	3
death-bell	1
death-cold	2
death—and	1
death—it’s	1
decided	3
declaration	1
declared	1
deductible	1
deep	8
deep-blue	1
deeply—and	1
deer	10
defeat	2
defeated	2
defect	3
defective	3
defects	1
defend	2
delay	1
deletions	1
delicious	1
delightful	1
demand	3
demanded	2
depart	4
departed	3
departing	1
depends	1
depose	1
deposing	1
derivative	3
derive	1
derived	1
descend	1
described	1
despair	2
despite	1
dessert	1
dessert’—for	1
destroy	2
detach	1
detain	1
determine	1
determined	4
device	1
devoured	1
dewdrop	1
diamond	1
dictation	1
did	100
didn’t	8
didst	3
die	3
died	3
differ	1
difference	2
different	3
difficult	1
dine	1
dinner	5
dinner-time	1
direct	1
direction	1
directly	2
director	1
disappeared	7
disc	1
disclaim	1
disclaimer	3
disclaimers	1
discontinue	1
discover	1
discovered	2
disk	1
dismally	1
dismiss	1
dismissed	3
dismount	1
dispersed	2
display	1
displayed	1
displaying	4
dispute	2
distance	6
distant	1
distinct	1
distressed	1
distribute	6
distributed	6
distributing	7
distribution	6
distributor	1
disturb	1
divided	4
dizzy	1
do	106
doctor	28
doctor’s	1
does	8
doesn’t	2
doff	1
dog	3
dogs	2
doing	1
domain	2
donate	3
donation	1
donations	15
done	15
donors	1
don’t	39
door	18
door—they	1
dost	1
dotted	1
doubt	1
doughty	1
down	45
downloading	1
downstairs	2
do—for	1
do—so	1
do—you	1
dr	1
drag	2
dragging	1
dragon	13
dragon’s	1
drank	1
drawback	1
drawing	1
drawn	1
dream	4
dreaming	1
dreaming—they	1
dreams	1
dreamt	2
dress	3
dressed	9
dressing-room	1
drew	16
dried	1
drink	1
drive	3
driven	3
driving	1
drop	5
dropped	2
drove	3
drowned	4
ducked	1
during	5
dusky	1
dust	4
duty	1
dwarf	20
dying	2
d’you	3
e	22
e-mail	1
each	24
eager	1
eagerly	1
ear	4
early	3
earnest	1
ears	4
earth	7
earth—sorrow	1
ease	2
easily	4
east	1
easy	6
eat	7
eatable	1
eaten	2
eats	1
eavesdropping	1
ebook	13
ebooks	7
echoed	2
echoes	1
edge	1
edinburgh	1
edition	2
editions	4
educational	1
effect	2
effort	2
efforts	6
egypt	1
eight	4
eighteen	1
ein	1
either	6
ejaculated	1
elbow	1
elect	3
electing	1
electronic	27
electronically	2
else	18
em	2
email	2
emperor	2
emphatically	1
employee	1
employees	2
enchanter	1
enchanter—i	1
enchanting	3
end	22
ends	1
enemy	10
enemy’s	1
engaged	1
engagement	1
england	6
english	1
enjoy	2
enjoyed	1
enormous	5
enough	25
ensuring	1
enter	4
entered	5
entering	1
entirely	1
entity	3
entrance	3
entreaties	1
entry	2
epidemic	1
epsom	1
equipment	3
erected	1
errand	1
errors	2
escape	1
escaped	1
escort	1
especially	2
europe	1
even	23
evening	5
events	1
ever	20
every	15
everything	11
everywhere	1
ever—so	1
evidently	2
exactly	6
exaggerating	1
examined	1
exceedingly	2
except	19
exception	2
excessively	2
excite	1
excited	3
excitement	2
exciting	1
exclaimed	1
exclaiming	1
exclusion	1
excuse	6
executing	1
executive	1
