	0
a	1900
a/m	1
abandon	2
abandoned	3
abandoning	1
abandonment	1
abhorrent	1
abiding	1
ability	4
able	40
able-bodied	1
ablest	2
ably	6
abolished	3
abolition	2
about	172
above	17
abroad	15
abroad--a	1
absence	4
absent	2
absented	1
absolute	5
absolutely	12
abstain	1
absurdity	1
abuse	2
abused	1
abusing	1
academy	1
accelerate	1
accelerators	1
accent	3
accept	4
acceptance	1
accepted	5
access	2
accessories	1
accident	3
accidents	1
accommodations	1
accompanied	6
accompany	4
accompanying	2
accomplished	3
accordance	6
accorded	3
according	13
accordingly	4
account	22
accountants	1
accounts	4
accredited	4
accretion	1
accused	4
achieved	1
acid	1
ackerman	2
acknowledge	1
acknowledged	3
acorns	1
acquaintance	7
acquainted	2
acquiesced	1
acquitted	2
acres	2
across	9
act	19
acted	5
acting	7
action	11
actions	2
active	5
activities	6
activity	1
acts	13
actual	7
actually	5
actuated	3
acute	2
ad	1
adalbert	2
add	3
addams	2
added	18
adding	4
addition	15
additional	2
address	8
addressed	9
addresses	1
addressing	2
adds	1
adee	1
aden	1
adequate	1
adjoining	4
adjourn	1
adjourned	4
adjournments	1
adjust	1
adjusted	2
adjutant	3
adlon	2
administration	3
administrations	1
administrative	1
admirable	1
admirably	2
admiral	8
admiralty	6
admiration	5
admire	3
admired	2
admirer	1
admirers	3
admission	3
admissions	1
admit	3
admits	1
admitted	5
adolph	1
adopt	4
adopted	4
adopting	1
adoption	2
adriatic	2
advance	10
advancement	2
advancing	2
advantage	10
advantages	2
adventures	1
adventurous	1
adversely	1
advertised	1
advertisement	1
advertising	2
advice	8
advisability	1
advised	4
advocate	1
advocated	6
advocates	5
aeroplane	2
aeroplanes	1
affable	3
affair	18
affairs	30
affect	1
affected	3
affecting	3
affects	1
affidavits	2
affixed	2
affixing	1
afford	1
afforded	6
afloat	1
aforesaid	1
afraid	5
africa	4
african	2
after	189
after-dinner	2
afternoon	20
afternoons	1
afterward	1
afterwards	16
again	33
against	135
age	9
agencies	2
agency	1
agent	1
agents	3
ages	4
aggravated	1
aggression	1
aggressions	1
aggressive	3
aghast	1
agile	1
agitation	5
ago	7
agree	6
agreeable	4
agreed	17
agreeing	1
agreement	12
agreements	1
agricultural	7
agriculture	5
ahead	5
aid	6
aide	1
aided	2
aides	4
air	6
alarmed	2
alarming	1
alaska	1
albert	1
ale	1
alexander	2
alienation	2
alive	5
all	309
allay	1
allayed	1
alleged	10
alles	1
allgemeine	1
alliance	3
allied	3
allies	28
allies--from	1
allison	3
allotment	2
allover	1
allow	15
allowance	9
allowances	2
allowed	45
allowing	1
alluding	1
alluring	1
ally	1
almanac	1
almost	29
alone	17
along	4
alongside	1
alonzo	1
aloud	1
already	17
alsace	2
alsace-lorraine	13
alsatian	2
alsatians	1
also	109
alter	1
alteration	1
altercation	1
altered	1
alternated	1
alternately	1
although	47
altogether	1
alunite	1
alvey	1
always	58
am	30
amateur	1
ambassador	101
ambassador's	3
ambassadors	24
ambassadress	1
ambassadresses	1
ambition	3
ambitions	2
amboy	1
amend	1
america	205
america's	1
america--at	1
american	232
americanism	1
americans	114
americas	2
amiable	1
amiably	1
amid	1
amity	2
ammunition	11
ammunitions	1
amnesty	2
among	37
amount	21
amounts	6
amundsen	1
amusement	1
amusements	2
amusingly	1
an	295
ancestor	3
ancestors	2
ancestral	1
ancient	3
ancona	3
and	3032
anda	1
andrew	1
angell's	1
angels	1
anger	3
angles	1
anglo-saxon	2
angry	2
anilin	1
animal	1
animated	1
animates	1
anna	3
annexation	6
annexationists	2
annexed	3
announce	1
announced	10
announcement	3
announcements	1
announcing	3
annoyance	1
annoyances	1
annual	8
annually	1
annulment	1
